Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Auberge du Plateau;4.3;67.25;14;71.4;1288.6;97.25;7;4;595.0;14.00;7;5;693.6;16.00;Aldred Building - Montreal|Musée Marguerite-Bourgeoys|L'original Art Gallery|La Guilde - Montreal|Leonard Cohen Mural|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|Place d'Armes|Palais des Congres|Notre-Dame Basilica|Maisonneuve Monument - Montreal|City Hall|Musee Romeo's - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking
2;Auberge du Plateau;4.3;67.25;13;66.9;1204.9;97.25;7;3;577.1;30.00;6;5;627.8;0.00;Notre-Dame Basilica|Musée Marguerite-Bourgeoys|L'original Art Gallery|La Guilde - Montreal|Leonard Cohen Mural|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|Place d'Armes|Palais des Congres|Maisonneuve Monument - Montreal|City Hall|Musee Romeo's - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
3;Auberge L'Apero;4.0;25.25;13;66.0;1301.6;39.25;6;5;636.4;0.00;7;5;665.2;14.00;Aldred Building - Montreal|La Guilde - Montreal|Leonard Cohen Mural|L'original Art Gallery|Complexe Desjardins|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking;St. Patrick's Basilica|Musée Marguerite-Bourgeoys|Pont Jacques-Cartier - Montreal|Place d'Armes|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking
4;Auberge du Plateau;4.3;67.25;12;62.0;1005.5;149.38;6;4;507.1;38.57;6;3;498.4;43.57;Aldred Building - Montreal|Musée Marguerite-Bourgeoys|La Guilde - Montreal|L'original Art Gallery|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal;Car|Walking|Bus|Bus|Car|Car|Car;Palais des Congres|Place d'Armes|Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel|Maisonneuve Monument - Montreal|City Hall;Walking|Walking|Walking|Car|Car|Car|Walking
5;Auberge L'Apero;4.0;25.25;11;57.9;1160.8;25.25;5;3;590.2;0.00;6;4;570.6;0.00;Aldred Building - Montreal|La Guilde - Montreal|Leonard Cohen Mural|Kondiaronk Belvedere|Mount Royal Park;Walking|Walking|Walking|Walking|Walking|Walking;St. Patrick's Basilica|Place d'Armes|City Hall|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Bus|Walking|Walking|Walking
6;Auberge L'Apero;4.0;25.25;11;57.5;1042.6;25.25;5;3;463.4;0.00;6;6;579.1;0.00;City Hall|Aldred Building - Montreal|Leonard Cohen Mural|La Guilde - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking;St. Patrick's Basilica|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal|Kondiaronk Belvedere|Maisonneuve Monument - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking
7;Auberge du Plateau;4.3;67.25;10;54.0;873.7;97.25;5;4;492.7;0.00;5;2;381.0;30.00;Aldred Building - Montreal|Leonard Cohen Mural|La Guilde - Montreal|L'original Art Gallery|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking;Place d'Armes|Notre-Dame Basilica|City Hall|Maisonneuve Monument - Montreal|Notre-Dame-de-Bon-Secours Chapel;Walking|Walking|Walking|Walking|Walking|Walking
8;Auberge L'Apero;4.0;25.25;10;52.5;921.9;25.25;4;3;317.3;0.00;6;6;604.6;0.00;City Hall|Maisonneuve Monument - Montreal|Leonard Cohen Mural|La Guilde - Montreal;Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|Cathédrale Christ Church Cathedral|St. Patrick's Basilica|Aldred Building - Montreal|Crystal Dreams St Denis - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking
9;Alternative Hostel of Old Montreal;4.5;35.75;9;49.4;825.9;49.75;6;4;546.2;0.00;3;3;279.7;14.00;Aldred Building - Montreal|Cathédrale Christ Church Cathedral|La Guilde - Montreal|L'original Art Gallery|Crystal Dreams St Denis - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Palais des Congres|Notre-Dame-de-Bon-Secours Chapel|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking
10;Auberge L'Apero;4.0;25.25;9;48.3;879.3;25.25;4;4;413.1;0.00;5;4;466.2;0.00;Aldred Building - Montreal|City Hall|La Guilde - Montreal|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking;St. Patrick's Basilica|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal|Maisonneuve Monument - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking
