Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Alternative Hostel of Old Montreal;4.5;35.75;13;66.8;1282.3;164.05;6;4;650.1;69.44;7;3;632.2;58.86;Aldred Building - Montreal|Allez Up - Montreal|La Guilde - Montreal|Crystal Dreams St Denis - Montreal|Cathédrale Christ Church Cathedral|Oasis Immersion - Montreal;Walking|Car|Walking|Bus|Walking|Walking|Walking;Maisonneuve Monument - Montreal|Notre-Dame Basilica|Chateau Ramezay Historic Site and Museum of Montreal|Musée Marguerite-Bourgeoys|Leonard Cohen Mural|Phi Centre|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking
2;Alternative Hostel of Old Montreal;4.5;35.75;13;66.6;1215.0;75.75;6;4;634.5;24.00;7;4;580.6;16.00;Aldred Building - Montreal|Maisonneuve Monument - Montreal|Bibliotheque et Archives Nationales du Quebec|Notre-Dame-de-Bon-Secours Chapel|Musee D'Art Contemporain De Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Place d'Armes|City Hall|Notre-Dame Basilica|Crystal Dreams St Denis - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Bus
3;Alternative Hostel of Old Montreal;4.5;35.75;13;67.3;1338.4;179.78;6;5;706.2;85.17;7;3;632.2;58.86;Aldred Building - Montreal|Allez Up - Montreal|La Guilde - Montreal|Crystal Dreams St Denis - Montreal|Musée du Montréal juif - Museum of Jewish Montreal|Oasis Immersion - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|Notre-Dame Basilica|Chateau Ramezay Historic Site and Museum of Montreal|Musée Marguerite-Bourgeoys|Leonard Cohen Mural|Phi Centre|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking
4;Alternative Hostel of Old Montreal;4.5;35.75;12;63.6;1161.4;91.75;6;4;604.2;14.00;6;4;557.2;42.00;Aldred Building - Montreal|Notre-Dame-de-Bon-Secours Chapel|Bibliotheque et Archives Nationales du Quebec|L'original Art Gallery|Maisonneuve Monument - Montreal|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Bus;Place d'Armes|Musée du Montréal juif - Museum of Jewish Montreal|Notre-Dame Basilica|Crystal Dreams St Denis - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking|Walking
5;Auberge L'Apero;4.0;25.25;12;61.1;1300.1;25.25;6;4;702.0;0.00;6;5;598.1;0.00;Belvedere Camillien-Houde - Montreal|La Guilde - Montreal|Aldred Building - Montreal|L'original Art Gallery|Pont Jacques-Cartier - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Bibliotheque et Archives Nationales du Quebec|Crystal Dreams St Denis - Montreal|City Hall|Complexe Desjardins|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
6;Alternative Hostel of Old Montreal;4.5;35.75;12;62.6;1241.1;35.75;6;5;622.3;0.00;6;5;618.7;0.00;Aldred Building - Montreal|Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Crystal Dreams St Denis - Montreal|Musee Romeo's - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Place d'Armes|City Hall|St. Patrick's Basilica|Complexe Desjardins|Leonard Cohen Mural|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking
7;Alternative Hostel of Old Montreal;4.5;35.75;12;62.6;1288.7;35.75;6;5;626.4;0.00;6;5;662.3;0.00;Aldred Building - Montreal|Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|L'original Art Gallery|Musee Romeo's - Montreal|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Place d'Armes|Complexe Desjardins|St. Patrick's Basilica|City Hall|Leonard Cohen Mural|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking
8;Auberge L'Apero;4.0;25.25;11;57.9;1155.0;25.25;5;4;495.0;0.00;6;4;660.0;0.00;Aldred Building - Montreal|Maisonneuve Monument - Montreal|La Guilde - Montreal|Crystal Dreams St Denis - Montreal|City Hall;Walking|Walking|Walking|Walking|Walking|Bus;Kondiaronk Belvedere|Mount Royal Park|Leonard Cohen Mural|L'original Art Gallery|St. Patrick's Basilica|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking
9;Alternative Hostel of Old Montreal;4.5;35.75;11;57.7;1064.1;49.75;5;3;465.6;14.00;6;4;598.5;0.00;Maisonneuve Monument - Montreal|Aldred Building - Montreal|Pont Jacques-Cartier - Montreal|Notre-Dame-de-Bon-Secours Chapel|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|City Hall|Crystal Dreams St Denis - Montreal|Place d'Armes|Bibliotheque et Archives Nationales du Quebec|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking
10;Auberge L'Apero;4.0;25.25;11;56.8;1093.0;39.25;6;4;628.3;14.00;5;4;464.7;0.00;Kondiaronk Belvedere|Cathédrale Christ Church Cathedral|Musée Marguerite-Bourgeoys|Arsenal Art Contemporain Montréal - Montreal|La Guilde - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking;City Hall|Palais des Congres|Crystal Dreams St Denis - Montreal|Place d'Armes|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking
