Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;22;1.08;1;8;2.82;9.8;45.7;21.28;77.4;1259.9;398.62;25.25;511.55;242.99
2;60;3.51;1;9;3.05;9.8;46.8;21.52;64.3;1068.8;356.10;25.25;533.22;210.20
3;60;9.90;1;10;3.68;10.0;51.7;24.71;64.3;1076.5;389.11;25.25;518.07;181.32
4;60;9.54;1;11;4.20;12.2;57.0;26.90;64.3;1163.6;409.00;25.25;455.47;103.87
5;60;12.20;1;11;4.15;12.2;58.3;26.90;64.3;1373.4;393.48;25.25;524.00;114.73
6;60;29.18;1;12;5.15;12.2;62.0;31.54;64.3;1334.3;495.44;25.25;700.75;121.58
7;60;95.16;1;14;5.92;12.2;70.3;35.11;64.3;1355.0;562.65;25.25;700.75;112.65
8;60;35.20;1;14;6.12;12.2;71.3;36.22;64.3;1355.0;569.94;25.25;700.75;129.76
9;60;31.23;1;14;6.23;12.2;71.3;36.66;64.3;1355.0;565.57;25.25;700.75;122.43
10;60;95.43;1;14;6.77;12.2;72.2;39.00;64.3;1396.2;622.58;25.25;700.75;112.84
