Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Alternative Hostel of Old Montreal;4.5;35.75;12;63.3;1399.8;65.75;6;4;682.5;30.00;6;5;717.3;0.00;Notre-Dame Basilica|St. Patrick's Basilica|Musée Marguerite-Bourgeoys|L'original Art Gallery|Bibliotheque et Archives Nationales du Quebec|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Musee Romeo's - Montreal|Crystal Dreams St Denis - Montreal|City Hall|Arsenal Art Contemporain Montréal - Montreal|Aldred Building - Montreal|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
2;Alternative Hostel of Old Montreal;4.5;35.75;12;62.7;1268.0;90.25;6;5;673.3;10.00;6;3;594.6;44.50;Musee Romeo's - Montreal|La Guilde - Montreal|Kondiaronk Belvedere|Musee D'Art Contemporain De Montreal|L'original Art Gallery|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Aldred Building - Montreal|Notre-Dame Basilica|St. Patrick's Basilica|Chateau Ramezay Historic Site and Museum of Montreal|Notre-Dame-de-Bon-Secours Chapel|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
3;Alternative Hostel of Old Montreal;4.5;35.75;12;62.0;1234.4;79.75;6;4;560.3;30.00;6;3;674.1;14.00;Kondiaronk Belvedere|Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel|Cathédrale Christ Church Cathedral|La Guilde - Montreal|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Palais des Congres|Musée Marguerite-Bourgeoys|Place d'Armes|Bota Bota, Spa-sur-l'eau - Montreal|Maisonneuve Monument - Montreal|Aldred Building - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
4;Alternative Hostel of Old Montreal;4.5;35.75;12;62.7;1301.5;49.75;6;4;685.4;14.00;6;4;616.2;0.00;Palais des Congres|St. Patrick's Basilica|Musée Marguerite-Bourgeoys|L'original Art Gallery|Bibliotheque et Archives Nationales du Quebec|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Musee Romeo's - Montreal|Crystal Dreams St Denis - Montreal|City Hall|Place d'Armes|Aldred Building - Montreal|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
5;Alternative Hostel of Old Montreal;4.5;35.75;12;63.3;1388.0;73.52;6;4;670.7;37.77;6;5;717.3;0.00;Notre-Dame Basilica|St. Patrick's Basilica|Musée Marguerite-Bourgeoys|L'original Art Gallery|Bibliotheque et Archives Nationales du Quebec|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Car|Walking|Walking;Musee Romeo's - Montreal|Crystal Dreams St Denis - Montreal|City Hall|Arsenal Art Contemporain Montréal - Montreal|Aldred Building - Montreal|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
6;Alternative Hostel of Old Montreal;4.5;35.75;11;56.6;1088.7;63.75;5;3;498.6;28.00;6;5;590.1;0.00;City Hall|Aldred Building - Montreal|Complexe Desjardins|Notre-Dame-de-Bon-Secours Chapel|Musée Marguerite-Bourgeoys;Walking|Walking|Walking|Walking|Walking|Walking;Place d'Armes|Cathédrale Christ Church Cathedral|Palais des Congres|Maisonneuve Monument - Montreal|Bibliotheque et Archives Nationales du Quebec|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
7;Alternative Hostel of Old Montreal;4.5;35.75;11;59.1;1289.6;35.75;5;4;679.1;0.00;6;5;610.5;0.00;City Hall|Musee Romeo's - Montreal|La Guilde - Montreal|Cathédrale Christ Church Cathedral|Belvedere Camillien-Houde - Montreal;Walking|Walking|Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|St. Patrick's Basilica|Crystal Dreams St Denis - Montreal|Aldred Building - Montreal|Leonard Cohen Mural|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking
8;Alternative Hostel of Old Montreal;4.5;35.75;11;57.5;1007.4;122.07;5;3;423.5;14.00;6;6;583.9;72.32;Place d'Armes|Musée Marguerite-Bourgeoys|Cathédrale Christ Church Cathedral|City Hall|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|St. Patrick's Basilica|Aldred Building - Montreal|L'original Art Gallery|Crystal Dreams St Denis - Montreal|Pont Jacques-Cartier - Montreal;Car|Car|Car|Walking|Walking|Car|Car
9;Alternative Hostel of Old Montreal;4.5;35.75;11;57.1;1171.5;94.25;6;4;653.3;28.50;5;2;518.1;30.00;Maisonneuve Monument - Montreal|Place d'Armes|Musee Romeo's - Montreal|Chateau Ramezay Historic Site and Museum of Montreal|Notre-Dame-de-Bon-Secours Chapel|Pont Jacques-Cartier - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Bota Bota, Spa-sur-l'eau - Montreal|Notre-Dame Basilica|L'original Art Gallery|City Hall|Musée Marguerite-Bourgeoys;Walking|Walking|Walking|Walking|Walking|Walking
10;Auberge L'Apero;4.0;25.25;11;56.2;1340.5;25.25;6;4;635.1;0.00;5;4;705.4;0.00;Mount Royal Park|Kondiaronk Belvedere|City Hall|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Bus|Walking|Walking|Walking;Bibliotheque et Archives Nationales du Quebec|Place d'Armes|Arsenal Art Contemporain Montréal - Montreal|L'original Art Gallery|Bota Bota, Spa-sur-l'eau - Montreal;Walking|Walking|Walking|Walking|Walking|Walking
