Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;19;1.05;1;8;3.21;12.2;45.7;22.34;90.0;1240.7;490.14;25.25;585.08;191.60
2;32;4.69;1;9;3.06;12.2;46.4;22.08;71.1;1210.7;406.78;25.25;585.08;151.80
3;60;2.87;1;11;2.70;12.2;56.2;20.28;69.4;1362.0;320.00;25.25;585.08;116.52
4;60;10.23;1;11;4.02;12.2;56.6;26.29;66.9;1413.8;461.64;25.25;502.80;106.34
5;60;14.21;1;11;4.15;12.2;56.8;27.01;64.3;1374.8;446.12;25.25;502.80;114.30
6;60;28.25;1;11;4.47;12.2;57.3;28.32;64.3;1293.3;433.34;25.25;514.00;127.84
7;60;37.39;1;11;5.25;12.2;57.3;31.78;64.3;1293.3;512.34;25.25;509.95;125.80
8;60;54.35;1;12;5.18;11.4;61.6;31.56;64.3;1306.0;493.63;25.25;509.95;133.17
9;60;34.49;1;12;5.45;12.2;61.7;32.83;64.3;1403.2;523.04;25.25;517.32;129.69
10;60;45.01;1;12;5.33;12.2;62.2;32.46;64.3;1421.2;520.73;25.25;517.32;127.85
11;60;183.49;1;12;5.43;11.4;63.3;32.71;64.3;1342.8;528.57;25.25;700.75;136.48
