Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
31;Auberge L'Apero;4.0;25.25;5;29.6;408.5;25.25;5;3;408.5;0.00;0;0;0.0;0.00;City Hall|Maisonneuve Monument - Montreal|L'original Art Gallery|Cathédrale Christ Church Cathedral|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking;;
37;Auberge L'Apero;4.0;25.25;4;25.6;331.9;25.25;4;3;331.9;0.00;0;0;0.0;0.00;Place d'Armes|Maisonneuve Monument - Montreal|L'original Art Gallery|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking|Walking;;
38;Alternative Hostel of Old Montreal;4.5;35.75;4;26.9;368.9;35.75;0;0;0.0;0.00;4;2;368.9;0.00;;;Maisonneuve Monument - Montreal|Place d'Armes|L'original Art Gallery|Aldred Building - Montreal;Walking|Walking|Walking|Walking|Walking
41;Auberge L'Apero;4.0;25.25;3;20.8;242.2;25.25;0;0;0.0;0.00;3;2;242.2;0.00;;;Cathédrale Christ Church Cathedral|City Hall|Leonard Cohen Mural;Walking|Walking|Subway|Walking
42;Alternative Hostel of Old Montreal;4.5;35.75;3;22.7;257.5;35.75;0;0;0.0;0.00;3;2;257.5;0.00;;;Maisonneuve Monument - Montreal|Aldred Building - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking
43;Samesun Montreal Central;4.4;60.00;3;22.1;253.0;60.00;0;0;0.0;0.00;3;3;253.0;0.00;;;Cathédrale Christ Church Cathedral|Place d'Armes|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking
44;Alternative Hostel of Old Montreal;4.5;35.75;2;18.3;211.0;35.75;2;2;211.0;0.00;0;0;0.0;0.00;Kondiaronk Belvedere|La Guilde - Montreal;Walking|Walking|Walking;;
45;Auberge L'Apero;4.0;25.25;2;16.7;236.5;25.25;0;0;0.0;0.00;2;1;236.5;0.00;;;Maisonneuve Monument - Montreal|Aldred Building - Montreal;Walking|Walking|Walking
46;Alternative Hostel of Old Montreal;4.5;35.75;2;17.4;166.1;35.75;1;1;72.3;0.00;1;1;93.8;0.00;Maisonneuve Monument - Montreal;Walking|Walking;Cathédrale Christ Church Cathedral;Walking|Walking
47;Deluxe Suites Downtown Montreal;5.0;243.25;1;14.2;90.0;243.25;1;1;90.0;0.00;0;0;0.0;0.00;Place d'Armes;Walking|Walking;;
48;Le Westin Montreal;4.2;295.00;1;12.6;64.3;295.00;0;0;0.0;0.00;1;1;64.3;0.00;;;Maisonneuve Monument - Montreal;Walking|Walking
49;LHotel;4.5;346.00;1;13.2;64.6;346.00;1;1;64.6;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Walking|Walking;;
50;Le Westin Montreal;4.2;295.00;1;12.6;64.3;295.00;1;1;64.3;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Walking|Walking;;
51;Le Petit Hotel Vieux-Montréal | Saint-Paul;4.7;426.75;1;13.6;67.1;433.90;1;1;67.1;7.15;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Car|Car;;
52;Auberge L'Apero;4.0;25.25;1;12.2;86.8;25.25;0;0;0.0;0.00;1;1;86.8;0.00;;;Cathédrale Christ Church Cathedral;Walking|Walking
53;Hôtel Saint-Sulpice;4.6;510.50;1;13.4;66.7;513.33;0;0;0.0;0.00;1;1;66.7;2.83;;;Maisonneuve Monument - Montreal;Walking|Car
55;Deluxe Suites Downtown Montreal;5.0;243.25;1;14.5;115.4;262.38;1;1;115.4;19.13;0;0;0.0;0.00;Kondiaronk Belvedere;Car|Walking;;
56;Deluxe Suites Downtown Montreal;5.0;243.25;1;14.5;132.4;243.25;1;1;132.4;0.00;0;0;0.0;0.00;Kondiaronk Belvedere;Walking|Walking;;
57;Hôtel Saint-Sulpice;4.6;510.50;1;13.4;66.7;513.33;0;0;0.0;0.00;1;1;66.7;2.83;;;Maisonneuve Monument - Montreal;Walking|Car
59;Samesun Montreal Central;4.4;60.00;1;13.0;71.5;71.52;0;0;0.0;0.00;1;1;71.5;11.52;;;Cathédrale Christ Church Cathedral;Car|Car
1;Alternative Hostel of Old Montreal;4.5;35.75;13;67.2;1335.9;35.75;7;5;711.7;0.00;6;4;624.2;0.00;Aldred Building - Montreal|La Guilde - Montreal|City Hall|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|Cathédrale Christ Church Cathedral|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Pont Jacques-Cartier - Montreal|Bibliotheque et Archives Nationales du Quebec|St. Patrick's Basilica|Maisonneuve Monument - Montreal|L'original Art Gallery|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking
2;Alternative Hostel of Old Montreal;4.5;35.75;13;67.4;1362.4;65.75;7;4;704.5;30.00;6;5;658.0;0.00;Aldred Building - Montreal|Notre-Dame Basilica|City Hall|Musée Marguerite-Bourgeoys|La Guilde - Montreal|Cathédrale Christ Church Cathedral|Musee Romeo's - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Bibliotheque et Archives Nationales du Quebec|Kondiaronk Belvedere|St. Patrick's Basilica|Maisonneuve Monument - Montreal|L'original Art Gallery|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking
3;Alternative Hostel of Old Montreal;4.5;35.75;13;66.7;1277.0;35.75;7;4;712.8;0.00;6;4;564.2;0.00;Maisonneuve Monument - Montreal|Bibliotheque et Archives Nationales du Quebec|Crystal Dreams St Denis - Montreal|Pont Jacques-Cartier - Montreal|La Guilde - Montreal|Cathédrale Christ Church Cathedral|Palais des Congres;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Aldred Building - Montreal|Kondiaronk Belvedere|Place d'Armes|City Hall|L'original Art Gallery|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking|Walking
