Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;4.7;541.50;10;54.4;1098.9;647.47;5;3;485.2;60.50;5;4;613.7;45.47;Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel|Musée du Montréal juif - Museum of Jewish Montreal|L'original Art Gallery|Leonard Cohen Mural;Walking|Car|Walking|Walking|Walking|Walking;City Hall|Cathédrale Christ Church Cathedral|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|Biodôme De Montreal;Walking|Car|Walking|Walking|Walking|Walking
2;The Ritz-Carlton, Montreal;4.9;1013.25;10;54.8;1101.8;1119.22;5;3;487.9;60.50;5;4;613.9;45.47;Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel|Musée du Montréal juif - Museum of Jewish Montreal|L'original Art Gallery|Leonard Cohen Mural;Walking|Car|Walking|Walking|Walking|Walking;City Hall|Cathédrale Christ Church Cathedral|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|Biodôme De Montreal;Walking|Car|Walking|Walking|Walking|Walking
3;Deluxe Suites Downtown Montreal;5.0;243.25;10;55.0;1120.0;349.22;5;3;497.9;60.50;5;4;622.1;45.47;Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel|Musée du Montréal juif - Museum of Jewish Montreal|L'original Art Gallery|Leonard Cohen Mural;Walking|Car|Walking|Walking|Walking|Walking;City Hall|Cathédrale Christ Church Cathedral|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|Biodôme De Montreal;Walking|Car|Walking|Walking|Walking|Walking
4;Warwick Le Crystal - Montréal;4.8;401.50;10;55.6;1277.9;481.44;5;5;612.0;7.22;5;4;665.9;72.73;L'original Art Gallery|Crystal Dreams St Denis - Montreal|La Guilde - Montreal|Maisonneuve Monument - Montreal|Kondiaronk Belvedere;Walking|Car|Walking|Walking|Walking|Walking;Notre-Dame Basilica|Musée du Montréal juif - Museum of Jewish Montreal|Musée de l'Holocauste Montréal|Cathédrale Christ Church Cathedral|Phi Centre;Walking|Car|Walking|Walking|Walking|Walking
5;Deluxe Suites Downtown Montreal;5.0;243.25;9;52.0;1421.4;308.83;5;4;717.5;7.22;4;4;703.9;58.37;L'original Art Gallery|Crystal Dreams St Denis - Montreal|La Guilde - Montreal|Cathédrale Christ Church Cathedral|Mount Royal Park;Walking|Car|Walking|Walking|Walking|Walking;Notre-Dame Basilica|Musée du Montréal juif - Museum of Jewish Montreal|Musée de l'Holocauste Montréal|Habitat 67;Walking|Car|Walking|Walking|Walking
6;Hotel Le Saint Andre;3.2;249.75;6;32.4;873.1;332.00;3;2;499.8;29.67;3;1;373.2;52.58;Bibliotheque et Archives Nationales du Quebec|Mem – Centre Des Mémoires Montréalaises|Complexe Desjardins;Walking|Car|Walking|Car;Notre-Dame-de-Bon-Secours Chapel|Chateau Ramezay Historic Site and Museum of Montreal|Musée Marguerite-Bourgeoys;Walking|Car|Walking|Car
7;Doubletree By Hilton Montreal;4.2;357.75;6;33.7;866.4;426.82;3;3;618.7;28.92;3;1;247.6;40.15;Mem – Centre Des Mémoires Montréalaises|Complexe Desjardins|Palais des Congres;Walking|Car|Walking|Car;City Hall|Notre-Dame-de-Bon-Secours Chapel|Musée Marguerite-Bourgeoys;Walking|Car|Walking|Car
8;Sonder Maisonneuve;4.7;228.25;6;35.3;921.3;303.33;3;1;428.6;34.88;3;2;492.8;40.20;Musée des beaux-arts de Montréal|Leonard Cohen Mural|La Guilde - Montreal;Walking|Car|Walking|Car;Cathédrale Christ Church Cathedral|Musee D'Art Contemporain De Montreal|McCord Stewart Museum;Walking|Car|Walking|Car
9;Hotel Gault;4.7;491.25;6;36.5;855.9;563.11;3;2;550.8;48.14;3;2;305.2;23.72;Pointe-a-Calliere Montreal Archaeology and History Complex|Phi Centre|Maisonneuve Monument - Montreal;Walking|Car|Walking|Car;Aldred Building - Montreal|L'original Art Gallery|Notre-Dame Basilica;Walking|Car|Walking|Car
10;Auberge du Plateau;4.3;67.25;8;44.5;1284.5;109.02;4;3;593.4;26.25;4;4;691.1;15.52;Mount Royal Park|Montreal Botanical Garden|Place d'Armes|L'original Art Gallery;Walking|Car|Walking|Walking|Walking;Saint Joseph's Oratory of Mount Royal|Atwater Market|Leonard Cohen Mural|Palais des Congres;Walking|Car|Walking|Walking|Walking
11;Alternative Hostel of Old Montreal;4.5;35.75;7;40.6;1302.0;77.52;4;3;588.7;26.25;3;3;713.3;15.52;Mount Royal Park|Montreal Botanical Garden|Place d'Armes|L'original Art Gallery;Walking|Car|Walking|Walking|Walking;Saint Joseph's Oratory of Mount Royal|Atwater Market|Habitat 67;Walking|Car|Walking|Walking
12;Hôtel Spa Carré St-louis;3.6;218.50;7;36.9;1156.5;332.26;5;2;649.3;66.19;2;2;507.2;47.57;Notre-Dame-de-Bon-Secours Chapel|Chateau Ramezay Historic Site and Museum of Montreal|Complexe Desjardins|Phi Centre|L'original Art Gallery;Car|Car|Car|Car|Walking|Walking;Musee D'Art Contemporain De Montreal|Aquazilla - Parc Jean-drapeau - Montreal;Bus|Car|Walking
13;Hygie Boutique Hotel;1.8;70.75;7;33.7;1191.0;212.62;4;4;581.2;98.92;3;2;609.9;42.95;Biodôme De Montreal|Notre-Dame-de-Bon-Secours Chapel|McCord Stewart Museum|Arsenal Art Contemporain Montréal - Montreal;Bus|Car|Car|Car|Car;Montreal Botanical Garden|Leonard Cohen Mural|Montréal Insectarium;Bus|Car|Walking|Walking
