Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;18;1.01;1;9;3.89;10.6;48.9;25.09;64.6;1312.0;538.93;35.75;685.50;272.96
2;43;3.34;1;11;2.40;12.1;57.2;19.15;64.3;1202.1;278.34;25.25;492.36;207.93
3;58;8.81;1;11;4.09;9.8;58.4;26.34;64.3;1403.9;466.43;25.25;493.86;175.18
4;60;28.25;1;12;5.22;12.2;62.8;32.09;64.3;1398.4;549.72;25.25;498.92;119.39
5;60;56.48;1;13;5.33;12.2;66.0;32.66;64.3;1398.4;540.50;25.25;1027.12;142.28
6;60;32.90;1;13;5.82;12.2;67.3;34.83;64.3;1326.5;563.08;25.25;1027.12;126.23
7;60;42.59;1;13;5.67;12.2;67.3;34.14;64.3;1381.2;560.74;25.25;1027.12;133.20
8;60;69.84;1;13;6.03;7.8;67.7;35.71;64.3;1387.6;579.05;25.25;1027.12;145.57
9;59;42.51;1;13;6.07;12.6;67.7;35.96;64.3;1387.6;581.68;25.25;1027.12;138.47
10;60;42.85;1;14;5.83;11.4;72.5;34.91;64.3;1387.6;544.04;25.25;1041.77;143.20
11;60;76.44;1;14;6.35;12.2;72.5;37.07;64.3;1387.6;604.16;25.25;1041.77;138.20
