Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Deluxe Suites Downtown Montreal;5.0;243.25;13;68.4;1295.7;293.00;7;4;603.6;0.00;6;6;692.0;49.75;Place d'Armes|Kondiaronk Belvedere|Leonard Cohen Mural|L'original Art Gallery|La Guilde - Montreal|Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;City Hall|Pont Jacques-Cartier - Montreal|Crystal Dreams St Denis - Montreal|Musée du Montréal juif - Museum of Jewish Montreal|St. Patrick's Basilica|Allez Up - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
2;Alternative Hostel of Old Montreal;4.5;35.75;13;66.9;1236.9;61.75;7;4;568.2;0.00;6;5;668.7;26.00;Place d'Armes|Kondiaronk Belvedere|Leonard Cohen Mural|Maisonneuve Monument - Montreal|L'original Art Gallery|La Guilde - Montreal|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;City Hall|Pont Jacques-Cartier - Montreal|Crystal Dreams St Denis - Montreal|Musée du Montréal juif - Museum of Jewish Montreal|St. Patrick's Basilica|Palais des Congres;Walking|Walking|Walking|Walking|Walking|Walking|Walking
3;Alternative Hostel of Old Montreal;4.5;35.75;12;62.8;1102.3;61.75;7;4;557.3;0.00;5;5;545.0;26.00;Place d'Armes|Kondiaronk Belvedere|Maisonneuve Monument - Montreal|L'original Art Gallery|La Guilde - Montreal|Leonard Cohen Mural|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;City Hall|Pont Jacques-Cartier - Montreal|Crystal Dreams St Denis - Montreal|Musée du Montréal juif - Museum of Jewish Montreal|St. Patrick's Basilica;Walking|Walking|Walking|Walking|Walking|Walking
4;Alternative Hostel of Old Montreal;4.5;35.75;12;61.9;1310.9;35.75;6;4;699.8;0.00;6;6;611.0;0.00;Mount Royal Park|Place d'Armes|City Hall|L'original Art Gallery|Aldred Building - Montreal|Palais des Congres;Bus|Walking|Walking|Walking|Walking|Walking|Walking;St. Patrick's Basilica|Maisonneuve Monument - Montreal|Complexe Desjardins|Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
5;Auberge L'Apero;4.0;25.25;11;57.4;1380.1;25.25;6;3;703.2;0.00;5;5;676.9;0.00;Place d'Armes|Kondiaronk Belvedere|L'original Art Gallery|Pont Jacques-Cartier - Montreal|Leonard Cohen Mural|Mount Royal Park;Walking|Walking|Walking|Walking|Walking|Walking|Walking;City Hall|Musee Romeo's - Montreal|Crystal Dreams St Denis - Montreal|Maisonneuve Monument - Montreal|Belvedere Camillien-Houde - Montreal;Walking|Walking|Walking|Walking|Walking|Walking
6;Alternative Hostel of Old Montreal;4.5;35.75;11;57.0;1219.9;35.75;6;4;699.8;0.00;5;5;520.1;0.00;Mount Royal Park|Place d'Armes|City Hall|L'original Art Gallery|Aldred Building - Montreal|Palais des Congres;Bus|Walking|Walking|Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|St. Patrick's Basilica|Complexe Desjardins|Cathédrale Christ Church Cathedral|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking
7;Alternative Hostel of Old Montreal;4.5;35.75;10;54.0;789.5;75.77;6;4;464.1;0.00;4;3;325.4;40.02;Place d'Armes|Kondiaronk Belvedere|Leonard Cohen Mural|La Guilde - Montreal|L'original Art Gallery|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Pont Jacques-Cartier - Montreal|City Hall|Crystal Dreams St Denis - Montreal|Notre-Dame Basilica;Car|Walking|Bus|Car|Walking
8;Auberge L'Apero;4.0;25.25;10;51.4;1134.7;25.25;5;5;558.5;0.00;5;4;576.1;0.00;Pont Jacques-Cartier - Montreal|Crystal Dreams St Denis - Montreal|Maisonneuve Monument - Montreal|Palais des Congres|City Hall;Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Place d'Armes|Leonard Cohen Mural|Maison Saint-Gabriel Museum and Historic Site;Walking|Walking|Walking|Walking|Walking|Walking
9;Auberge L'Apero;4.0;25.25;9;47.9;892.6;25.25;6;5;647.3;0.00;3;3;245.3;0.00;Palais des Congres|Crystal Dreams St Denis - Montreal|Musee Romeo's - Montreal|City Hall|L'original Art Gallery|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Place d'Armes|Kondiaronk Belvedere;Walking|Walking|Walking|Walking
10;Alternative Hostel of Old Montreal;4.5;35.75;8;44.6;682.9;51.75;5;3;400.2;0.00;3;2;282.7;16.00;Place d'Armes|Maisonneuve Monument - Montreal|Leonard Cohen Mural|La Guilde - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking;Pont Jacques-Cartier - Montreal|City Hall|Notre-Dame Basilica;Walking|Walking|Walking|Walking
11;Auberge L'Apero;4.0;25.25;8;43.9;843.9;33.25;3;3;359.1;0.00;5;4;484.8;8.00;Palais des Congres|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Place d'Armes|Musée de l'Holocauste Montréal|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking
12;Alternative Hostel of Old Montreal;4.5;35.75;7;40.5;623.6;42.90;4;3;313.5;7.15;3;3;310.1;0.00;Place d'Armes|Kondiaronk Belvedere|Leonard Cohen Mural|L'original Art Gallery;Walking|Walking|Walking|Car|Walking;Maisonneuve Monument - Montreal|Pont Jacques-Cartier - Montreal|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking
13;Auberge L'Apero;4.0;25.25;7;39.1;682.7;25.25;4;4;444.9;0.00;3;3;237.8;0.00;Palais des Congres|L'original Art Gallery|Crystal Dreams St Denis - Montreal|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Place d'Armes;Walking|Walking|Walking|Walking
14;Alternative Hostel of Old Montreal;4.5;35.75;6;36.1;552.9;51.75;2;2;156.1;0.00;4;3;396.8;16.00;Place d'Armes|Maisonneuve Monument - Montreal;Walking|Walking|Walking;Pont Jacques-Cartier - Montreal|Crystal Dreams St Denis - Montreal|Notre-Dame Basilica|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking
15;Auberge L'Apero;4.0;25.25;6;35.0;604.3;25.25;3;3;366.5;0.00;3;3;237.8;0.00;Kondiaronk Belvedere|L'original Art Gallery|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Place d'Armes;Walking|Walking|Walking|Walking
16;Sonder Maisonneuve;4.7;228.25;5;32.3;440.0;258.25;0;0;0.0;0.00;5;3;440.0;30.00;;;Cathédrale Christ Church Cathedral|Notre-Dame-de-Bon-Secours Chapel|Crystal Dreams St Denis - Montreal|Notre-Dame Basilica|Leonard Cohen Mural;Walking|Walking|Walking|Bus|Walking|Walking
17;Sonder Maisonneuve;4.7;228.25;4;27.8;340.2;244.25;0;0;0.0;0.00;4;3;340.2;16.00;;;Cathédrale Christ Church Cathedral|Notre-Dame Basilica|Crystal Dreams St Denis - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking
18;Auberge L'Apero;4.0;25.25;4;26.0;545.9;33.25;2;2;269.9;0.00;2;2;276.1;8.00;Palais des Congres|L'original Art Gallery;Walking|Walking|Walking;Place d'Armes|Musée de l'Holocauste Montréal;Walking|Walking|Bus
19;Hotel Nelligan;4.7;486.75;3;22.8;242.1;486.75;0;0;0.0;0.00;3;3;242.1;0.00;;;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking
20;Auberge L'Apero;4.0;25.25;3;21.3;330.0;25.25;3;2;330.0;0.00;0;0;0.0;0.00;Palais des Congres|L'original Art Gallery|Place d'Armes;Walking|Walking|Walking|Walking;;
21;Warwick Le Crystal - Montréal;4.8;401.50;2;18.3;182.3;410.67;1;1;113.1;0.00;1;1;69.2;9.17;Kondiaronk Belvedere;Walking|Walking;Maisonneuve Monument - Montreal;Car|Car
22;Hotel Casa Bella;2.8;140.25;2;14.5;210.5;166.25;0;0;0.0;0.00;2;2;210.5;26.00;;;Maisonneuve Monument - Montreal|Musée du Montréal juif - Museum of Jewish Montreal;Walking|Walking|Walking
23;Hotel Gite du Survenant Montreal;4.7;193.75;2;17.7;315.5;193.75;2;2;315.5;0.00;0;0;0.0;0.00;Place d'Armes|Complexe Desjardins;Walking|Walking|Walking;;
24;Auberge L'Apero;4.0;25.25;1;12.5;103.9;25.25;0;0;0.0;0.00;1;1;103.9;0.00;;;Kondiaronk Belvedere;Walking|Walking
25;Le Westin Montreal;4.2;295.00;1;12.6;64.3;295.00;1;1;64.3;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Walking|Walking;;
26;Renaissance Montreal Downtown Hotel;4.4;700.75;1;13.0;64.4;700.75;0;0;0.0;0.00;1;1;64.4;0.00;;;Cathédrale Christ Church Cathedral;Walking|Walking
27;Hotel Gault;4.7;491.25;1;13.6;67.2;493.58;1;1;67.2;2.33;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Walking|Car;;
28;Warwick Le Crystal - Montréal;4.8;401.50;1;14.2;149.6;401.50;0;0;0.0;0.00;1;1;149.6;0.00;;;St. Patrick's Basilica;Walking|Walking
29;Auberge L'Apero;4.0;25.25;1;12.2;90.0;25.25;0;0;0.0;0.00;1;1;90.0;0.00;;;Place d'Armes;Walking|Walking
30;Hotel Gite du Survenant Montreal;4.7;193.75;1;13.6;90.0;193.75;0;0;0.0;0.00;1;1;90.0;0.00;;;Place d'Armes;Walking|Walking
