Solution;Hotel;IsValid;ReportedAttractions;CalculatedAttractions;ReportedQuality;CalculatedQuality;ReportedTime;CalculatedTime;ReportedCost;CalculatedCost;Errors
1;Sonder Maisonneuve;True;10.0;10;54.4;54.4;1107.3;1107.3;334.22;334.22;
2;Deluxe Suites Downtown Montreal;True;10.0;10;55.8;55.8;1305.2;1305.2;323.19;323.19;
3;Samesun Montreal Central;True;8.0;8;44.3;44.3;1307.9;1307.9;101.77;101.77;
4;Alternative Hostel of Old Montreal;True;7.0;7;40.6;40.6;1302.0;1302.0;77.52;77.52;
5;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
6;Hygie Boutique Hotel;True;8.0;8;39.8;39.8;923.8;923.8;164.5;164.50;
7;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
8;Sonder Maisonneuve;True;2.0;2;18.3;18.3;227.6;227.6;254.25;254.25;
9;Auberge L'Apero;True;1.0;1;12.2;12.2;78.0;78.0;29.8;29.80;
10;Sonder Maisonneuve;True;9.0;9;49.4;49.4;920.8;920.8;340.97;340.97;
11;Sonder Maisonneuve;True;6.0;6;36.3;36.3;634.7;634.7;242.25;242.25;
12;Sonder Maisonneuve;True;1.0;1;13.9;13.9;101.8;101.8;228.25;228.25;
13;Alternative Hostel of Old Montreal;True;4.0;4;26.3;26.3;338.6;338.6;35.75;35.75;
14;Deluxe Suites Downtown Montreal;True;1.0;1;14.2;14.2;90.0;90.0;243.25;243.25;
15;Alternative Hostel of Old Montreal;True;7.0;7;39.6;39.6;872.1;872.1;35.75;35.75;
16;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
17;Alternative Hostel of Old Montreal;True;7.0;7;40.2;40.2;1247.9;1247.9;62.0;62.00;
18;Alternative Hostel of Old Montreal;True;2.0;2;18.2;18.2;246.4;246.3;35.75;35.75;
19;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
20;Sonder Maisonneuve;True;3.0;3;22.6;22.6;333.8;333.8;268.25;268.25;
21;Sonder Maisonneuve;True;8.0;8;45.1;45.1;995.3;995.2;292.0;292.00;
22;Alternative Hostel of Old Montreal;True;7.0;7;40.1;40.1;1170.9;1170.9;62.0;62.00;
23;Alternative Hostel of Old Montreal;True;7.0;7;40.3;40.3;1251.1;1251.1;62.0;62.00;
24;Alternative Hostel of Old Montreal;True;2.0;2;17.5;17.5;191.8;191.8;49.75;49.75;
25;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
26;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
27;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
28;Sonder Maisonneuve;True;1.0;1;13.6;13.6;79.3;79.3;232.73;232.73;
29;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
30;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
31;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
32;Sonder Maisonneuve;True;1.0;1;13.6;13.6;79.3;79.3;232.73;232.73;
33;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
34;Sonder Maisonneuve;True;1.0;1;13.6;13.6;79.3;79.3;232.73;232.73;
35;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
36;Sonder Maisonneuve;True;1.0;1;13.6;13.6;79.3;79.3;232.73;232.73;
37;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
38;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
39;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
40;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
41;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
42;Sonder Maisonneuve;True;1.0;1;13.6;13.6;69.1;69.1;237.38;237.38;
43;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
44;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
45;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
46;Hôtel De L'ithq;True;2.0;2;18.1;18.1;208.1;208.1;380.25;380.25;
47;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
48;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
49;Sonder Maisonneuve;True;1.0;1;13.6;13.6;79.3;79.3;232.73;232.73;
50;Sonder Maisonneuve;True;1.0;1;13.6;13.6;79.3;79.3;232.73;232.73;
51;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
52;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
53;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
54;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
55;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
56;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
57;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
58;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
59;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
60;Auberge L'Apero;True;1.0;1;12.2;12.2;69.4;69.4;34.65;34.65;
61;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
62;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
63;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
64;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
65;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
66;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
