Ranking,Name,Short Description,Address,Latitude e Longitude,Nota (TripAdvisor),Custo (CA$) (Google),Horário (Sábado)  (Google),Horário (Domingo)(Google),Duração da visita (minutos)(TripAdvisor)
1,Notre-Dame Basilica,"Montreal's oldest Catholic church, built in 1656, is known for its intricately designed interior, which includes stained glass chronicling the history of the city.",Vieux-Montreal (Old Montreal),"45.50488484161069, -73.5559920614887","4,7",16,09:00–16:00,09:00-16:00,60
3,Mount Royal Park,"This park is one of Montreal's largest greenspaces and is a great place for admiring a wide variety of flora and fauna. Designed by Frederick Law Olmsted, the same person behind New York's Central Park.",Parc du Mont-Royal,"45.5017242852144, -73.5932608190273","4,6",0,06:00-00:00,06:00-00:00,180
4,Montreal Botanical Garden,"Recognized as one of the world's finest, the Montréal Botanical Garden is a true living museum featuring plants from every part of the globe. This jewel in the city's crown, founded in 1931, covers vast areas.",Rosemont-La Petite-Patrie,"45.55985533405107, -73.5637530306676","4,5",0,09:00-17:00,09:00-17:00,180
5,Saint Joseph's Oratory of Mount Royal,"Saint Joseph's Oratory of Mount-Royal, founded by Saint Brother André in 1904, is a catholic sanctuary and the largest shrine dedicated to Saint Joseph in the world. It receives over 2 million visitors annually.",Parc du Mont-Royal,"45.49197986022398, -73.61652044786351","4,5",0,06:30-21:00,06:30-21:00,180
6,Biodôme De Montreal,"An oasis in the heart of the city of Montréal, the Biodôme offers an immersive visit through five ecosystems of the Americas where animals and plants can be observed. It is one of the few places in the world with such diversity.",Olympic Park & Hochelaga-Maisonneuve (HoMa),"45.55981973415572, -73.54971890368142","4,1","23,75",09:00-17:00,09:00-17:00,120
7,Musée des beaux-arts de Montréal,"The MMFA is one of Canada's most visited museums and the eighth-most visited museum in North America, boasting more than 1.3 million visitors. The MMFA's original temporary exhibitions combine various artistic disciplines.",Centre-Ville (Downtown),"45.49867979375328, -73.57933573067109","4,5",30,10:00-17:00,10:00-17:00,180
10,Pointe-a-Calliere Montreal Archaeology and History Complex,"Pointe-a-Calliere, the birthplace of Montreal and a National Historic Site, offers visitors the opportunity to explore history through an original underground circuit leading through archaeological excavations.",Vieux-Montreal (Old Montreal),"45.50286913866202, -73.55424190553418","4,4",29,11:00-17:00,11:00-17:00,180
18,Biosphere,"One of Montréal's iconic architectural landmarks since Expo 67, the Biosphère's geodesic dome is the most widely recognized architectural work by the famous Richard Buckminster Fuller.",Parc Jean-Drapeau,"45.514033632599, -73.53143007484839","3,9","23,75",09:00-17:00,09:00-17:00,120
19,Atwater Market,"The market, along the Lachine Canal, offers cheese, local produce, baked goods and meat from different vendors. Buy food there and head to the canal for a picnic.",Le Sud-Ouest (Southwest District),"45.47958787511579, -73.57692238834342","4,4",0,09:00-17:00,09:00-17:00,180
22,Notre-Dame-de-Bon-Secours Chapel,"Called the Sailors' Church because of the wooden ship models that hang from its ceiling, this church was originally designed by Marguerite Bougeoys, one of Montreal's first teachers.",Vieux-Montreal (Old Montreal),"45.50992340631214, -73.55109819019117","4,5",14,10:00-17:00,10:00-17:00,60
23,Olympic Park (Parc olympique),"A daring architectural site, the Olympic Park was built to accommodate the 1976 Summer Olympics and has since been host to more than one hundred million visitors.",Olympic Park & Hochelaga-Maisonneuve (HoMa),"45.55666013105798, -73.55117558833902","3,9",0,9:00-17:00,9:00-17:00,180
25,Montréal Insectarium,"The first museum in North America where you can get up close to living insects as they move around in total freedom. Come and admire these tiny fascinating creatures, including many species of butterflies.",Rosemont-La Petite-Patrie,"45.56117611837906, -73.5578418036813","4,1","23,75",09:00-17:00,09:00-17:00,120
27,Musee Redpath,This natural history museum at McGill University is named after business tycoon and philanthropist John Redpath.,Centre-Ville (Downtown),"45.50462587707572, -73.57737177484893","4,3",10,10:00-16:00,Closed,180
30,Place d'Armes,"This major plaza in Old Montreal, built in the 17th century, once served as the training grounds for the military.",Vieux-Montreal (Old Montreal),"45.505175998459904, -73.55712074601321","4,2",0,00:00-23:59,00:00-23:59,60
31,Parc Jean-Drapeau,"A jewel nestling in the St. Lawrence River, Parc Jean-Drapeau is without doubt one of Montreal's most precious assets and a one-of-a-kind place in Canada.",Parc Jean-Drapeau,"45.51410042397623, -73.53383060368401","4,2",0,06:00-00:00,06:00-00:00,180
