Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;5;30.0;628.0;25.25
2;Auberge L'Apero;13;66.9;1426.3;61.32
3;Hotel Faubourg Montreal;2;15.8;180.9;267.25
4;Deluxe Suites Downtown Montreal;16;81.2;1412.4;359.07
5;Warwick Le Crystal - Montréal;16;81.4;1386.8;537.13
6;Hotel Nelligan;14;72.0;1098.6;643.40
7;L'Appartement Hotel;6;34.1;451.8;248.22
8;InterContinental Montreal, an IHG hotel;10;52.8;756.3;419.18
9;Hotel Saint-Laurent Montreal;2;16.3;241.1;326.38
10;Hotel Faubourg Montreal;3;20.0;242.5;267.25
11;Hotel Nelligan;15;76.8;1288.1;622.67
12;Auberge L'Apero;16;79.2;1399.8;135.90
13;Deluxe Suites Downtown Montreal;15;77.2;1326.9;394.92
14;InterContinental Montreal, an IHG hotel;10;52.8;756.3;419.18
15;Humaniti Hotel Montreal Autograph Collection;5;30.1;365.5;467.75
16;Hotel Faubourg Montreal;4;24.2;305.1;267.25
17;Deluxe Suites Downtown Montreal;12;63.9;1015.4;346.12
18;Samesun Montreal Central;14;71.9;1202.6;193.95
19;Auberge L'Apero;9;47.6;714.7;90.43
20;Deluxe Suites Downtown Montreal;8;46.0;648.5;275.67
21;Auberge L'Apero;11;57.4;839.2;76.17
22;Alternative Hostel of Old Montreal;6;36.3;604.8;35.75
23;Auberge L'Apero;4;25.0;333.4;70.70
24;Auberge L'Apero;8;43.1;650.9;60.67
25;Hotel Nelligan;14;72.0;1098.6;643.40
26;Hôtel Place d'Armes Old Montreal;10;53.1;789.2;467.73
27;Hotel Faubourg Montreal;7;38.7;553.4;283.25
28;Hotel Nelligan;3;21.8;240.9;493.90
29;Hotel Faubourg Montreal;3;20.0;242.5;267.25
30;Alternative Hostel of Old Montreal;13;67.8;1129.6;103.30
31;Hotel Nelligan;7;41.0;569.8;505.33
32;Deluxe Suites Downtown Montreal;12;63.2;958.9;364.27
33;Deluxe Suites Downtown Montreal;11;58.6;887.7;325.70
34;Alternative Hostel of Old Montreal;9;48.8;702.2;95.28
35;Auberge L'Apero;14;70.5;1134.2;142.03
36;Hotel Faubourg Montreal;5;28.9;374.7;283.25
37;Hotel Faubourg Montreal;2;15.8;180.9;267.25
38;Auberge L'Apero;11;56.8;931.0;65.57
39;Auberge L'Apero;14;69.7;1180.4;96.95
40;Alternative Hostel of Old Montreal;10;54.7;996.1;41.78
41;Auberge L'Apero;15;74.6;1248.8;138.07
42;Hotel Faubourg Montreal;11;56.2;827.7;354.63
43;Deluxe Suites Downtown Montreal;15;77.1;1348.9;385.40
44;Auberge L'Apero;3;20.7;273.2;67.48
45;Hotel Nelligan;9;49.9;676.5;563.58
46;Hotel Nelligan;4;26.5;290.9;502.75
47;Hotel Faubourg Montreal;6;33.4;437.7;297.25
48;Auberge L'Apero;8;43.4;628.9;77.70
49;Alternative Hostel of Old Montreal;9;50.7;872.5;51.75
50;Hotel William Gray;8;45.0;615.7;559.87
51;Hotel Nelligan;3;21.8;252.2;486.75
52;Samesun Montreal Central;12;62.6;974.5;165.97
53;Alternative Hostel of Old Montreal;5;31.8;587.6;35.75
54;Hotel Faubourg Montreal;8;41.8;576.1;340.15
55;Auberge L'Apero;7;38.3;551.5;90.57
56;Deluxe Suites Downtown Montreal;14;72.9;1195.3;351.27
57;Humaniti Hotel Montreal Autograph Collection;16;80.0;1349.5;592.17
58;Auberge L'Apero;13;65.2;1084.9;99.58
59;Hotel Nelligan;3;22.3;265.3;502.75
60;Deluxe Suites Downtown Montreal;11;58.6;850.0;348.37
61;Humaniti Hotel Montreal Autograph Collection;15;75.4;1218.0;574.77
62;Hotel Nelligan;6;36.0;498.5;519.85
63;Alternative Hostel of Old Montreal;8;45.6;727.4;51.75
64;Hotel Nelligan;9;49.0;704.9;549.58
65;Hotel Nelligan;3;22.3;265.3;502.75
66;Hotel Nelligan;7;40.2;533.5;530.75
67;Hotel Nelligan;15;76.1;1241.3;614.63
68;Hotel Nelligan;12;62.8;895.4;592.10
69;Hotel Nelligan;4;26.0;296.6;486.75
70;Hotel William Gray;7;40.5;548.7;545.87
71;Deluxe Suites Downtown Montreal;6;35.4;463.9;313.10
72;Hotel Nelligan;8;44.8;645.0;549.58
73;Auberge L'Apero;14;70.9;1134.6;175.28
74;Deluxe Suites Downtown Montreal;15;76.7;1266.7;376.20
75;Humaniti Hotel Montreal Autograph Collection;14;71.4;1120.8;604.40
76;Alternative Hostel of Old Montreal;15;76.2;1309.1;152.58
77;Alternative Hostel of Old Montreal;13;68.0;1231.1;86.77
78;Samesun Montreal Central;4;25.9;322.4;81.35
79;Deluxe Suites Downtown Montreal;12;63.4;908.4;365.02
80;Auberge L'Apero;13;66.0;1166.1;84.10
81;Alternative Hostel of Old Montreal;11;58.4;945.4;100.85
82;Deluxe Suites Downtown Montreal;13;68.6;1111.8;342.45
83;Auberge L'Apero;13;66.0;1015.8;122.45
84;Samesun Montreal Central;12;61.8;1003.2;162.70
85;Hotel Nelligan;10;53.1;758.8;600.73
86;Samesun Montreal Central;8;44.3;618.7;126.43
