Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;8;44.4;969.6;25.25
2;Auberge L'Apero;12;62.3;1414.4;44.17
3;Hygie Boutique Hotel;7;35.1;796.3;100.98
4;Auberge L'Apero;15;74.8;1401.3;118.90
5;Warwick Le Crystal - Montréal;6;36.6;677.2;417.82
6;Le Petit Hotel Vieux-Montréal | Saint-Paul;7;41.4;640.7;432.60
7;Le Petit Hotel Vieux-Montréal | Saint-Paul;14;71.4;1307.5;493.65
8;Hotel Chrome Montreal;9;45.5;913.2;213.32
9;Residence Inn Montreal Midtown;11;56.9;1044.6;384.28
10;Auberge L'Apero;15;74.8;1401.3;118.90
11;Le Petit Hotel Vieux-Montréal | Saint-Paul;7;41.4;640.7;432.60
12;Hygie Boutique Hotel;11;52.4;1012.5;139.18
13;Novotel Montreal Centre;14;70.9;1276.9;341.12
14;Auberge L'Apero;10;53.2;1261.8;25.25
15;Hygie Boutique Hotel;10;49.1;1052.3;98.82
16;Warwick Le Crystal - Montréal;9;49.8;919.2;429.45
17;Auberge L'Apero;8;43.8;945.9;47.42
18;Auberge L'Apero;11;57.2;1117.9;80.32
19;Hotel le Coach;13;67.3;1159.8;273.35
20;Deluxe Suites Downtown Montreal;13;68.2;1215.1;318.17
21;Hotel Monville;14;71.4;1373.5;353.35
22;Auberge L'Apero;12;62.3;1414.4;44.17
23;Novotel Montreal Centre;7;38.9;740.3;280.75
24;St Paul Hotel;11;56.2;1019.0;488.10
25;Hygie Boutique Hotel;12;57.0;1102.1;133.12
26;Warwick Le Crystal - Montréal;7;40.5;783.7;429.35
27;Hygie Boutique Hotel;9;44.6;882.3;77.93
28;Hygie Boutique Hotel;8;40.4;817.7;70.75
29;Deluxe Suites Downtown Montreal;12;63.8;1258.4;259.15
30;Le Petit Hotel Vieux-Montréal | Saint-Paul;10;55.5;960.2;440.75
31;Novotel Montreal Centre;8;43.4;851.8;280.08
32;Novotel Montreal Centre;7;38.9;740.3;280.75
33;Auberge L'Apero;12;62.7;1283.8;51.53
34;Ramada Plaza by Wyndham Montreal;14;70.0;1331.1;296.25
35;Auberge L'Apero;13;65.4;1268.7;62.92
36;L'Appartement Hotel;13;66.6;1198.9;262.43
37;Le Petit Hotel Vieux-Montréal | Saint-Paul;11;58.0;1046.0;463.85
38;Novotel Montreal Centre;9;47.6;934.1;286.47
39;Le Petit Hotel Vieux-Montréal | Saint-Paul;12;63.3;1106.4;456.63
40;Auberge L'Apero;10;52.3;1064.4;83.73
41;Le Petit Hotel Vieux-Montréal | Saint-Paul;8;46.2;809.1;433.77
42;Auberge L'Apero;12;61.8;1362.6;32.12
43;Auberge L'Apero;12;61.1;1187.7;124.67
44;Hygie Boutique Hotel;10;48.7;987.4;107.62
45;Deluxe Suites Downtown Montreal;9;51.3;1010.7;271.97
46;Auberge L'Apero;12;62.3;1241.3;67.07
47;Deluxe Suites Downtown Montreal;13;68.2;1215.1;318.17
48;Deluxe Suites Downtown Montreal;13;67.4;1257.8;312.25
49;Hygie Boutique Hotel;9;45.1;993.6;91.63
50;Deluxe Suites Downtown Montreal;10;55.0;999.9;305.55
51;Deluxe Suites Downtown Montreal;11;59.4;1084.2;283.45
52;Novotel Montreal Centre;8;43.1;813.4;286.63
53;Auberge L'Apero;11;58.2;1220.7;42.53
54;Hygie Boutique Hotel;7;35.1;796.3;100.98
55;Deluxe Suites Downtown Montreal;11;58.9;1062.9;290.63
56;Hygie Boutique Hotel;14;65.7;1322.2;121.17
57;Deluxe Suites Downtown Montreal;11;59.8;1109.0;297.47
58;Hotel Monville;13;66.3;1159.7;329.77
59;Auberge L'Apero;12;60.5;1144.7;81.12
60;Auberge L'Apero;9;48.2;1092.6;37.37
