Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;8;43.0;905.2;30.67
2;Samesun Montreal Central;4;26.9;485.9;65.70
3;Samesun Montreal Central;4;26.9;409.8;83.00
4;Samesun Montreal Central;12;62.6;1400.3;91.56
5;Hygie Boutique Hotel;5;25.1;466.4;117.70
6;Deluxe Suites Downtown Montreal;14;72.9;1325.0;335.77
7;Doubletree By Hilton Montreal;14;71.3;1312.9;447.17
8;The Ritz-Carlton, Montreal;4;27.9;485.9;1019.70
9;Le Square Phillips Hotel & Suites;13;67.3;1143.8;568.97
10;Hotel le Coach;10;54.1;883.9;244.63
11;Samesun Montreal Central;14;70.5;1352.7;155.43
12;Hygie Boutique Hotel;7;34.3;593.7;124.73
13;Hotel le Coach;8;45.2;743.9;252.08
14;Deluxe Suites Downtown Montreal;6;35.7;587.9;298.17
15;Hygie Boutique Hotel;5;25.1;466.4;117.70
16;Samesun Montreal Central;6;35.7;599.6;82.63
17;Samesun Montreal Central;9;48.3;858.2;108.87
18;Samesun Montreal Central;11;56.6;947.9;144.50
19;Doubletree By Hilton Montreal;12;61.6;1059.1;448.97
20;Auberge L'Apero;11;55.9;1135.7;49.90
21;Auberge L'Apero;10;50.9;990.1;123.65
22;Le Square Phillips Hotel & Suites;13;67.3;1143.8;568.97
23;Samesun Montreal Central;7;40.0;648.9;129.27
24;Samesun Montreal Central;12;62.6;1400.3;91.56
25;Hotel le Coach;9;48.7;751.7;275.03
26;Auberge L'Apero;5;30.7;553.7;52.92
27;Doubletree By Hilton Montreal;12;61.8;1082.3;431.63
28;Samesun Montreal Central;12;62.2;1264.8;120.82
29;Cjour Apartments;7;38.7;632.4;151.73
30;Samesun Montreal Central;14;70.5;1330.3;173.68
31;Samesun Montreal Central;13;67.0;1311.9;162.43
32;Le Square Phillips Hotel & Suites;12;62.5;1099.3;533.73
33;Deluxe Suites Downtown Montreal;11;59.4;984.1;356.30
34;Samesun Montreal Central;6;35.9;634.8;67.90
35;Samesun Montreal Central;7;40.7;704.6;98.88
36;Samesun Montreal Central;13;67.8;1341.6;162.78
37;Deluxe Suites Downtown Montreal;9;49.9;842.7;280.03
38;Samesun Montreal Central;13;65.4;1174.2;142.23
39;Auberge de La Fontaine;12;62.4;1097.8;374.72
40;Deluxe Suites Downtown Montreal;9;50.6;810.8;311.35
41;Samesun Montreal Central;6;34.5;524.0;133.68
42;Deluxe Suites Downtown Montreal;12;63.6;1104.7;352.58
43;Samesun Montreal Central;10;53.0;1049.3;101.52
44;Deluxe Suites Downtown Montreal;10;54.7;940.3;328.33
45;Hygie Boutique Hotel;6;30.0;557.1;118.93
46;Ambrose House & Café;13;66.5;1184.0;334.73
47;Cjour Apartments;5;29.0;503.9;134.63
48;Auberge L'Apero;10;51.6;1004.8;84.98
49;Samesun Montreal Central;13;67.4;1385.9;101.66
50;Auberge L'Apero;8;43.9;951.5;37.58
51;Auberge L'Apero;9;46.7;855.3;64.40
52;Samesun Montreal Central;13;66.9;1288.6;152.80
53;Hotel William Gray;13;67.7;1181.0;556.00
54;Samesun Montreal Central;7;40.5;776.2;65.20
55;Deluxe Suites Downtown Montreal;10;55.1;900.9;341.47
56;Samesun Montreal Central;12;62.1;1222.1;107.23
57;Cjour Apartments;5;29.5;503.9;151.73
58;Samesun Montreal Central;6;35.0;692.0;60.00
59;Auberge L'Apero;12;60.6;1262.4;71.09
60;Samesun Montreal Central;12;61.1;1024.5;153.73
61;Samesun Montreal Central;4;26.9;447.7;73.82
62;Auberge L'Apero;11;57.3;1026.5;107.25
63;Samesun Montreal Central;7;39.4;680.5;92.80
64;Auberge L'Apero;10;53.6;1111.7;52.80
65;Samesun Montreal Central;12;63.4;1245.3;128.68
66;Hygie Boutique Hotel;10;48.3;925.6;117.47
67;Le Square Phillips Hotel & Suites;12;62.5;1092.6;535.40
68;Samesun Montreal Central;4;26.9;409.8;83.00
69;Ambrose House & Café;11;56.0;876.6;343.17
70;Samesun Montreal Central;8;45.1;813.6;95.70
71;Auberge L'Apero;9;47.4;901.6;77.99
72;Auberge L'Apero;9;47.1;913.5;44.48
73;Hyatt Place Montréal – Downtown;11;57.4;969.8;365.03
74;Hotel le Coach;12;62.6;1152.5;265.38
75;Samesun Montreal Central;6;35.3;664.3;65.57
76;Samesun Montreal Central;8;44.9;726.6;103.32
77;Auberge de La Fontaine;11;57.8;969.4;374.05
78;Samesun Montreal Central;12;61.8;1162.7;141.21
79;Doubletree By Hilton Montreal;14;71.3;1312.9;447.17
80;Samesun Montreal Central;9;49.4;789.2;122.88
