Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Alternative Hostel of Old Montreal;8;45.2;837.8;35.75
2;Alternative Hostel of Old Montreal;6;35.4;710.4;71.37
3;Deluxe Suites Downtown Montreal;15;77.5;1404.6;382.92
4;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;9;49.9;833.7;536.27
5;Deluxe Suites Downtown Montreal;11;59.4;994.5;285.93
6;Alternative Hostel of Old Montreal;14;71.8;1319.6;113.80
7;Alternative Hostel of Old Montreal;12;63.9;1167.0;169.53
8;Deluxe Suites Downtown Montreal;14;73.5;1377.3;372.75
9;Deluxe Suites Downtown Montreal;15;77.5;1336.4;398.07
10;Alternative Hostel of Old Montreal;7;40.3;744.3;42.12
11;Alternative Hostel of Old Montreal;6;35.4;710.4;71.37
12;Deluxe Suites Downtown Montreal;11;60.0;979.5;303.05
13;Deluxe Suites Downtown Montreal;15;77.5;1336.4;398.07
14;Alternative Hostel of Old Montreal;12;63.1;1189.5;72.95
15;Alternative Hostel of Old Montreal;8;44.8;810.9;61.05
16;Alternative Hostel of Old Montreal;10;54.5;1137.0;42.77
17;Alternative Hostel of Old Montreal;9;49.7;969.3;56.12
18;Alternative Hostel of Old Montreal;13;68.2;1349.2;99.02
19;Alternative Hostel of Old Montreal;7;40.3;744.3;42.12
20;Alternative Hostel of Old Montreal;10;54.4;869.2;99.32
21;Alternative Hostel of Old Montreal;11;58.8;1008.7;49.75
22;Deluxe Suites Downtown Montreal;10;55.4;911.6;308.73
23;Alternative Hostel of Old Montreal;12;63.5;1001.3;107.53
24;Deluxe Suites Downtown Montreal;13;68.8;1208.4;381.15
25;Alternative Hostel of Old Montreal;7;41.2;781.6;83.57
26;Deluxe Suites Downtown Montreal;12;64.5;1040.3;333.53
27;Deluxe Suites Downtown Montreal;12;64.7;1158.6;328.98
28;Deluxe Suites Downtown Montreal;9;51.0;854.9;324.12
29;Alternative Hostel of Old Montreal;13;67.4;1293.9;99.52
30;Alternative Hostel of Old Montreal;13;67.3;1174.2;113.18
31;Deluxe Suites Downtown Montreal;13;68.8;1208.4;381.15
32;Alternative Hostel of Old Montreal;10;54.0;1090.4;35.75
33;Deluxe Suites Downtown Montreal;14;73.0;1226.1;359.73
34;Deluxe Suites Downtown Montreal;8;46.8;810.8;322.80
35;Alternative Hostel of Old Montreal;11;58.9;933.0;113.32
36;Alternative Hostel of Old Montreal;12;63.5;1059.0;91.53
37;Alternative Hostel of Old Montreal;7;41.2;781.6;83.57
38;Deluxe Suites Downtown Montreal;14;72.8;1331.1;347.02
39;Deluxe Suites Downtown Montreal;13;68.7;1254.3;304.45
40;Alternative Hostel of Old Montreal;9;49.4;817.4;99.57
41;Deluxe Suites Downtown Montreal;8;46.8;810.8;322.80
42;Alternative Hostel of Old Montreal;12;63.5;1071.3;79.05
43;Alternative Hostel of Old Montreal;11;59.0;1112.7;75.75
44;Deluxe Suites Downtown Montreal;12;64.6;1114.9;356.78
45;Alternative Hostel of Old Montreal;10;54.0;1090.4;35.75
46;Alternative Hostel of Old Montreal;8;45.4;842.9;83.57
47;Alternative Hostel of Old Montreal;9;50.3;896.4;65.05
48;Deluxe Suites Downtown Montreal;14;72.8;1373.2;351.48
49;Alternative Hostel of Old Montreal;12;63.8;1193.7;59.02
50;Alternative Hostel of Old Montreal;9;50.3;896.4;65.05
51;Alternative Hostel of Old Montreal;9;49.4;817.4;99.57
52;Deluxe Suites Downtown Montreal;9;50.3;842.7;312.60
53;Alternative Hostel of Old Montreal;13;67.8;1241.3;108.97
54;Alternative Hostel of Old Montreal;11;59.2;1164.0;64.77
55;Alternative Hostel of Old Montreal;13;67.8;1241.3;108.97
56;Alternative Hostel of Old Montreal;9;50.2;865.0;59.02
57;Alternative Hostel of Old Montreal;9;49.4;853.2;83.57
58;Deluxe Suites Downtown Montreal;9;50.3;861.8;307.30
59;Deluxe Suites Downtown Montreal;13;68.3;1169.6;351.77
60;Alternative Hostel of Old Montreal;13;68.2;1248.4;113.20
