,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Notre-Dame Basilica,N,14.833333333333334,18.916666666666668,20.05,16.6,8.633333333333333,4.666666666666667,13.55,9.45,4.5,13.4,15.366666666666667,11.483333333333333,N,13.25,4.4,8.366666666666667,4.416666666666667,7.833333333333333,17.083333333333332,5.733333333333333,8.25,10.15,N,14.25,7.266666666666667,7.566666666666666,3.533333333333333,5.7,6.8,10.883333333333333,5.533333333333333,19.183333333333334,14.033333333333333,4.15,7.5,4.5,6.566666666666666,15.633333333333333,4.233333333333333,14.233333333333333,8.916666666666666,8.35,16.1,12.466666666666667,10.516666666666667,6.95,N,6.5,11.533333333333333
Mount Royal Park,15.05,N,26.25,14.683333333333334,24.083333333333332,11.3,15.883333333333333,21.416666666666668,13.4,15.433333333333334,21.4,22.433333333333334,13.9,14.666666666666666,21.116666666666667,15.566666666666666,10.216666666666667,15.583333333333334,15.783333333333333,24.316666666666666,13.4,13.55,18.483333333333334,15.583333333333334,13.333333333333334,10.583333333333334,14.333333333333334,13.166666666666666,15.333333333333334,13.65,17.9,14.7,N,20.683333333333334,13.816666666666666,15.633333333333333,15.433333333333334,14.916666666666666,23.5,13.35,17.466666666666665,11.716666666666667,13.316666666666666,23.966666666666665,7.533333333333333,16.183333333333334,11.783333333333333,14.8,17.75,13.383333333333333
Montreal Botanical Garden,21.316666666666666,25.183333333333334,N,31.783333333333335,13.766666666666667,20.05,21.3,20.8,23.583333333333332,19.766666666666666,11.633333333333333,8.766666666666667,22.9,20.933333333333334,20.5,21.116666666666667,16.9,20.05,21.066666666666666,14.0,20.233333333333334,19.65,22.866666666666667,21.183333333333334,27.483333333333334,19.2,20.9,18.583333333333332,19.333333333333332,19.416666666666668,25.033333333333335,19.783333333333335,30.816666666666666,11.066666666666666,20.716666666666665,18.766666666666666,19.766666666666666,21.616666666666667,22.883333333333333,20.25,12.6,20.333333333333332,22.25,23.35,22.816666666666666,24.666666666666668,16.283333333333335,21.066666666666666,23.05,19.383333333333333
Saint Joseph's Oratory of Mount Royal,18.5,13.1,29.783333333333335,N,27.616666666666667,13.416666666666666,19.333333333333332,24.95,15.516666666666667,17.666666666666668,24.933333333333334,25.966666666666665,16.016666666666666,18.116666666666667,24.65,19.016666666666666,15.2,19.033333333333335,18.95,27.85,16.85,15.666666666666666,20.6,19.033333333333335,10.05,12.7,16.45,16.35,18.016666666666666,15.766666666666667,17.533333333333335,17.883333333333333,24.816666666666666,24.216666666666665,17.266666666666666,19.433333333333334,17.666666666666668,18.366666666666667,27.033333333333335,16.8,22.45,13.833333333333334,15.433333333333334,26.766666666666666,13.716666666666667,18.3,15.95,18.25,19.866666666666667,18.366666666666667
Biodôme De Montreal,17.316666666666666,23.916666666666668,13.816666666666666,29.233333333333334,N,17.5,17.383333333333333,18.25,19.65,15.833333333333334,7.416666666666667,8.116666666666667,20.35,16.933333333333334,17.95,17.116666666666667,17.3,16.233333333333334,18.516666666666666,N,17.033333333333335,17.1,19.85,17.183333333333334,24.45,16.65,18.35,15.016666666666667,15.6,16.866666666666667,21.1,16.683333333333334,28.266666666666666,8.916666666666666,16.866666666666667,16.216666666666665,15.833333333333334,18.05,20.333333333333332,16.716666666666665,12.2,17.783333333333335,18.316666666666666,20.8,21.55,20.733333333333334,13.733333333333333,17.066666666666666,19.216666666666665,19.783333333333335
Musée des beaux-arts de Montréal,8.45,11.0,19.35,14.8,17.183333333333334,N,9.283333333333333,14.516666666666667,7.566666666666666,8.833333333333334,14.5,15.533333333333333,7.083333333333333,8.066666666666666,14.216666666666667,8.966666666666667,8.383333333333333,8.983333333333333,8.95,17.416666666666668,6.8,5.233333333333333,11.016666666666667,8.983333333333333,13.45,2.35,6.016666666666667,6.466666666666667,8.733333333333333,5.333333333333333,11.133333333333333,8.1,15.883333333333333,13.783333333333333,7.216666666666667,9.0,8.833333333333334,8.316666666666666,16.6,6.75,13.983333333333333,N,6.366666666666666,17.066666666666666,11.616666666666667,9.683333333333334,6.7,8.2,10.116666666666667,11.55
Pointe-a-Calliere Montreal Archaeology and History Complex,5.25,16.416666666666668,19.516666666666666,20.216666666666665,17.2,8.8,N,14.15,10.05,5.95,14.0,15.966666666666667,11.65,4.866666666666666,13.85,5.766666666666667,9.233333333333333,5.783333333333333,8.7,17.683333333333334,5.75,8.166666666666666,9.45,5.783333333333333,15.1,7.433333333333334,7.483333333333333,4.4,6.3,6.716666666666667,9.383333333333333,6.4,19.7,14.9,2.45,8.1,5.95,7.433333333333334,16.233333333333334,3.55,15.1,9.083333333333334,7.233333333333333,15.616666666666667,13.333333333333334,9.016666666666667,7.816666666666666,5.0,5.8,12.4
Biosphere,13.533333333333333,21.133333333333333,19.283333333333335,26.516666666666666,17.116666666666667,14.783333333333333,13.6,N,15.866666666666667,12.05,14.433333333333334,15.466666666666667,17.633333333333333,13.15,7.316666666666666,13.333333333333334,14.05,12.45,15.25,17.35,13.066666666666666,14.383333333333333,6.566666666666666,13.4,20.666666666666668,13.933333333333334,14.483333333333333,11.233333333333333,11.816666666666666,13.733333333333333,14.9,12.716666666666667,25.483333333333334,13.716666666666667,11.866666666666667,12.083333333333334,12.05,14.266666666666667,9.866666666666667,12.933333333333334,13.916666666666666,15.066666666666666,13.733333333333333,7.083333333333333,18.766666666666666,15.9,10.7,13.283333333333333,11.6,16.533333333333335
Atwater Market,11.316666666666666,14.616666666666667,24.466666666666665,18.416666666666668,21.583333333333332,8.183333333333334,12.033333333333333,16.65,N,10.983333333333333,18.383333333333333,20.65,12.116666666666667,10.933333333333334,18.25,11.833333333333334,13.5,11.85,12.1,22.533333333333335,10.0,10.35,11.75,11.85,12.866666666666667,7.466666666666667,10.266666666666667,9.5,11.333333333333334,9.5,7.816666666666666,11.033333333333333,20.916666666666668,18.9,10.0,12.766666666666667,10.983333333333333,11.516666666666667,20.633333333333333,9.616666666666667,19.1,8.6,4.816666666666666,17.916666666666668,15.233333333333333,9.4,11.816666666666666,11.066666666666666,10.283333333333333,16.666666666666668
Notre-Dame-de-Bon-Secours Chapel,5.65,15.65,18.033333333333335,20.866666666666667,15.716666666666667,9.45,4.55,12.55,10.116666666666667,N,12.516666666666667,14.483333333333333,12.3,5.266666666666667,12.25,4.55,9.183333333333334,3.6666666666666665,8.65,16.2,6.55,9.066666666666666,10.033333333333333,5.016666666666667,14.916666666666666,8.083333333333334,8.383333333333333,4.35,5.116666666666666,7.616666666666666,10.766666666666667,6.35,20.0,13.8,4.033333333333333,6.5,N,7.383333333333334,14.633333333333333,5.05,14.0,9.733333333333333,8.9,15.1,13.283333333333333,10.4,6.333333333333333,5.4,6.383333333333334,12.35
