,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Notre-Dame Basilica,N,N,39.5,41.53333333333333,29.433333333333334,N,N,25.3,22.85,N,29.833333333333332,38.11666666666667,N,N,26.133333333333333,N,29.0,N,N,31.283333333333335,N,N,N,N,28.783333333333335,N,N,N,N,N,N,N,N,28.7,N,N,N,N,N,N,N,N,N,44.61666666666667,N,N,17.083333333333332,N,N,27.4
Mount Royal Park,N,N,54.15,N,44.083333333333336,N,N,46.95,N,N,44.483333333333334,52.766666666666666,N,N,47.78333333333333,N,N,N,N,45.93333333333333,N,N,N,N,N,N,N,N,N,N,N,N,N,43.35,N,N,N,N,N,N,N,N,N,66.26666666666667,N,N,N,N,N,N
Montreal Botanical Garden,41.5,54.15,N,64.7,N,38.56666666666667,44.61666666666667,41.46666666666667,44.016666666666666,39.983333333333334,N,N,38.483333333333334,40.65,42.3,44.18333333333333,N,40.8,34.3,N,37.56666666666667,33.68333333333333,60.93333333333333,41.55,51.95,38.15,35.9,36.8,36.416666666666664,32.88333333333333,53.4,32.266666666666666,53.18333333333333,N,44.86666666666667,28.066666666666666,39.983333333333334,40.13333333333333,N,39.96666666666667,N,37.56666666666667,49.583333333333336,60.78333333333333,N,56.516666666666666,37.25,40.46666666666667,51.43333333333333,N
Saint Joseph's Oratory of Mount Royal,40.483333333333334,N,65.65,N,56.583333333333336,N,44.35,54.45,38.0,44.4,55.983333333333334,65.26666666666667,N,39.63333333333333,55.28333333333333,46.31666666666667,N,44.46666666666667,42.56666666666667,58.43333333333333,39.35,43.666666666666664,73.91666666666667,41.75,N,N,41.85,38.733333333333334,41.45,42.86666666666667,49.38333333333333,42.6,N,54.85,45.4,41.05,44.4,40.61666666666667,63.333333333333336,39.28333333333333,N,N,43.13333333333333,73.76666666666667,N,N,45.233333333333334,40.233333333333334,50.0,47.516666666666666
Biodôme De Montreal,30.433333333333334,44.083333333333336,N,55.63333333333333,N,28.5,34.3,32.4,33.95,29.916666666666668,N,N,28.416666666666668,29.583333333333332,33.233333333333334,34.11666666666667,39.1,30.733333333333334,24.233333333333334,N,27.5,23.616666666666667,51.86666666666667,31.483333333333334,43.88333333333333,28.083333333333332,25.833333333333332,26.733333333333334,26.35,22.816666666666666,43.333333333333336,22.2,43.11666666666667,N,34.8,18.0,29.916666666666668,30.066666666666666,32.28333333333333,29.233333333333334,N,27.5,39.516666666666666,51.71666666666667,N,46.31666666666667,27.183333333333334,30.183333333333334,41.36666666666667,38.5
Musée des beaux-arts de Montréal,N,N,38.46666666666667,N,28.4,N,N,32.266666666666666,N,N,28.8,37.083333333333336,N,N,33.1,N,N,N,N,30.25,N,N,N,N,29.75,N,N,N,23.033333333333335,N,N,N,N,27.666666666666668,N,17.866666666666667,N,N,N,N,N,N,N,51.583333333333336,N,N,N,N,N,39.36666666666667
Pointe-a-Calliere Montreal Archaeology and History Complex,N,N,44.61666666666667,45.4,34.55,N,N,30.166666666666668,N,N,34.95,43.233333333333334,N,N,31.0,N,N,N,N,36.4,N,N,N,N,32.65,N,N,N,N,N,N,N,N,33.81666666666667,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,30.266666666666666
Biosphere,26.3,45.95,42.46666666666667,54.5,32.4,30.366666666666667,30.166666666666668,N,34.81666666666667,24.766666666666666,32.8,41.083333333333336,29.283333333333335,25.45,N,32.13333333333333,34.96666666666667,25.583333333333332,24.316666666666666,34.25,27.166666666666668,24.483333333333334,N,27.566666666666666,42.75,29.95,26.7,24.55,21.2,23.683333333333334,44.2,20.75,43.983333333333334,31.666666666666668,33.21666666666667,12.85,24.766666666666666,26.433333333333334,N,25.1,N,28.366666666666667,37.95,N,N,42.18333333333333,23.05,26.05,37.81666666666667,33.36666666666667
Atwater Market,21.85,N,44.016666666666666,39.05,33.95,N,N,35.81666666666667,N,25.766666666666666,34.35,42.63333333333333,23.833333333333332,21.0,36.65,27.683333333333334,37.516666666666666,25.833333333333332,23.933333333333334,35.8,20.716666666666665,21.033333333333335,N,23.116666666666667,26.3,N,N,20.1,22.816666666666666,20.233333333333334,N,23.966666666666665,N,33.21666666666667,N,22.416666666666668,25.766666666666666,21.983333333333334,41.7,20.65,N,N,N,55.13333333333333,N,N,25.6,21.6,N,35.916666666666664
Notre-Dame-de-Bon-Secours Chapel,N,N,41.416666666666664,45.45,31.35,N,N,23.766666666666666,25.766666666666666,N,31.75,40.03333333333333,N,N,24.6,N,30.916666666666668,N,N,33.2,N,N,N,N,32.7,N,N,N,N,N,N,N,N,30.616666666666667,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29.316666666666666
