,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Hôtel Place d'Armes Old Montreal,N,39.233333333333334,63.266666666666666,49.016666666666666,59.016666666666666,26.883333333333333,N,37.416666666666664,24.966666666666665,N,56.833333333333336,57.36666666666667,N,N,38.25,N,22.083333333333332,N,N,60.083333333333336,N,N,26.283333333333335,N,45.233333333333334,N,N,N,N,N,26.333333333333332,N,37.483333333333334,52.03333333333333,N,14.4,N,N,N,N,58.733333333333334,22.55,N,39.266666666666666,28.766666666666666,N,22.516666666666666,N,N,25.383333333333333
Hôtel Bonaventure Montréal,N,N,64.63333333333334,41.2,60.733333333333334,N,N,26.233333333333334,23.383333333333333,N,59.983333333333334,69.01666666666667,N,N,27.066666666666666,N,35.166666666666664,N,N,62.583333333333336,N,N,15.1,N,51.18333333333333,N,N,N,N,N,27.733333333333334,N,N,59.86666666666667,N,17.583333333333332,N,N,42.46666666666667,N,61.11666666666667,N,N,28.083333333333332,N,N,28.816666666666666,N,N,38.46666666666667
Le Square Phillips Hotel & Suites,N,N,60.583333333333336,38.78333333333333,56.333333333333336,N,N,36.2,20.9,26.2,54.15,54.68333333333333,N,N,37.03333333333333,N,29.816666666666666,N,N,57.4,N,N,25.066666666666666,N,44.5,N,N,N,14.683333333333334,N,26.583333333333332,N,N,49.35,N,N,26.2,N,N,N,56.05,N,21.816666666666666,38.05,N,N,20.416666666666668,N,N,33.11666666666667
Hotel William Gray,N,45.983333333333334,62.71666666666667,55.75,58.233333333333334,28.316666666666666,N,48.15,30.383333333333333,N,56.28333333333333,56.81666666666667,22.65,N,48.983333333333334,N,24.016666666666666,N,N,59.53333333333333,N,19.733333333333334,37.016666666666666,N,47.13333333333333,25.55,18.666666666666668,N,N,N,41.15,N,39.38333333333333,51.483333333333334,N,N,N,N,N,N,58.18333333333333,26.933333333333334,26.566666666666666,50.0,30.666666666666668,N,21.966666666666665,N,N,36.05
Hyatt Place Montréal – Downtown,N,39.93333333333333,48.75,49.71666666666667,54.666666666666664,27.583333333333332,30.9,48.016666666666666,29.483333333333334,N,43.4,53.13333333333333,25.2,14.766666666666667,48.85,N,33.28333333333333,N,N,55.55,N,N,36.88333333333333,N,49.88333333333333,21.55,15.283333333333333,N,N,N,41.016666666666666,N,40.583333333333336,43.983333333333334,24.9,N,N,N,N,14.416666666666666,54.2,23.883333333333333,35.983333333333334,49.86666666666667,48.43333333333333,34.833333333333336,8.416666666666666,N,31.2,32.06666666666667
Hotel Faubourg Montreal,N,40.3,54.68333333333333,50.083333333333336,54.983333333333334,21.4,N,41.333333333333336,25.45,N,43.71666666666667,53.56666666666667,N,N,42.166666666666664,N,20.533333333333335,N,N,56.28333333333333,N,N,30.2,N,44.2,18.983333333333334,12.716666666666667,N,N,N,40.8,N,N,48.233333333333334,N,N,N,N,N,N,45.63333333333333,21.316666666666666,35.766666666666666,43.18333333333333,27.733333333333334,31.866666666666667,N,N,N,23.833333333333332
Hotel Saint-Laurent Montreal,N,43.4,54.516666666666666,43.85,54.81666666666667,18.6,N,41.166666666666664,32.416666666666664,N,43.55,53.4,19.15,N,42.0,N,20.366666666666667,N,N,56.11666666666667,N,N,30.033333333333335,N,44.03333333333333,15.433333333333334,9.866666666666667,N,N,N,38.833333333333336,N,N,48.06666666666667,N,N,N,N,N,N,45.46666666666667,17.916666666666668,26.883333333333333,43.016666666666666,27.566666666666666,27.716666666666665,N,N,N,23.666666666666668
Hotel Nelligan,N,42.2,62.43333333333333,51.983333333333334,58.18333333333333,27.116666666666667,N,46.95,26.683333333333334,N,56.0,56.53333333333333,23.783333333333335,N,47.78333333333333,N,24.033333333333335,N,N,59.25,N,N,35.81666666666667,N,48.266666666666666,23.816666666666666,N,N,N,N,24.35,N,40.516666666666666,51.2,N,12.35,N,N,N,N,52.266666666666666,25.733333333333334,N,48.8,31.8,N,32.35,N,N,27.333333333333332
Hotel Omni Mont-Royal,23.1,N,60.21666666666667,34.233333333333334,55.96666666666667,N,20.333333333333332,37.45,29.466666666666665,23.016666666666666,53.78333333333333,54.31666666666667,N,23.366666666666667,38.28333333333333,29.783333333333335,32.06666666666667,28.716666666666665,N,57.03333333333333,N,N,26.316666666666666,24.366666666666667,47.96666666666667,N,N,N,29.466666666666665,N,29.833333333333332,N,N,48.983333333333334,20.7,21.05,23.016666666666666,N,46.516666666666666,20.616666666666667,55.68333333333333,N,25.6,39.3,N,N,20.05,23.083333333333332,20.633333333333333,37.86666666666667
Doubletree By Hilton Montreal,N,31.866666666666667,51.06666666666667,47.8,49.96666666666667,21.633333333333333,N,45.8,29.916666666666668,N,48.233333333333334,48.31666666666667,N,N,46.63333333333333,N,18.45,N,N,51.03333333333333,N,N,34.666666666666664,N,45.53333333333333,N,N,N,N,N,43.3,N,N,46.3,N,N,N,N,N,N,49.45,20.15,35.416666666666664,47.65,27.833333333333332,37.11666666666667,N,N,N,21.75
Le St-Martin Hotel Particulier Montreal,19.516666666666666,N,60.21666666666667,37.53333333333333,55.96666666666667,N,17.5,34.61666666666667,22.95,20.183333333333334,53.78333333333333,54.31666666666667,N,N,35.45,19.916666666666668,32.06666666666667,29.366666666666667,N,57.03333333333333,N,N,23.483333333333334,24.366666666666667,47.96666666666667,N,N,N,23.866666666666667,N,28.083333333333332,N,N,48.983333333333334,15.166666666666666,18.533333333333335,20.183333333333334,N,43.9,N,55.68333333333333,N,23.85,36.46666666666667,N,N,20.05,N,17.8,37.86666666666667
Auberge Du Vieux Port,N,44.55,60.96666666666667,57.03333333333333,56.71666666666667,26.883333333333333,N,46.71666666666667,30.35,N,54.53333333333333,55.06666666666667,26.333333333333332,N,47.55,N,24.183333333333334,N,N,57.78333333333333,N,21.016666666666666,35.583333333333336,N,48.416666666666664,24.116666666666667,17.233333333333334,N,N,N,27.55,N,39.28333333333333,49.733333333333334,N,N,N,N,N,N,52.416666666666664,25.5,26.533333333333335,48.56666666666667,31.95,N,30.883333333333333,N,N,27.483333333333334
L'Appartement Hotel,N,N,57.15,38.05,52.9,N,N,42.18333333333333,33.35,20.483333333333334,50.71666666666667,51.25,N,N,43.016666666666666,N,22.05,17.833333333333332,N,53.96666666666667,N,N,31.05,N,38.06666666666667,N,N,N,17.933333333333334,N,35.18333333333333,N,N,45.916666666666664,N,N,20.483333333333334,N,N,N,52.61666666666667,N,29.533333333333335,44.03333333333333,N,N,N,N,N,27.85
Best Western Ville-Marie Montreal Hotel & Suites,23.816666666666666,N,60.93333333333333,33.666666666666664,56.68333333333333,N,20.0,37.11666666666667,28.9,22.683333333333334,54.5,55.03333333333333,N,24.083333333333332,37.95,22.416666666666668,32.78333333333333,29.433333333333334,N,57.75,N,N,25.983333333333334,25.083333333333332,48.68333333333333,N,N,N,30.183333333333334,N,31.15,N,N,49.7,21.416666666666668,22.366666666666667,22.683333333333334,N,47.61666666666667,21.366666666666667,56.4,N,26.25,38.96666666666667,N,N,20.766666666666666,23.8,20.3,38.583333333333336
