,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Hôtel Place d'Armes Old Montreal,2.433333333333333,45.016666666666666,88.65,74.08333333333333,81.96666666666667,28.816666666666666,6.416666666666667,58.583333333333336,42.93333333333333,9.533333333333333,75.31666666666666,88.31666666666666,25.65,1.45,58.53333333333333,7.583333333333333,42.0,6.833333333333333,8.616666666666667,83.15,9.45,20.45,41.4,3.6333333333333333,89.85,25.6,16.95,4.783333333333333,8.25,15.783333333333333,45.016666666666666,8.45,41.583333333333336,76.83333333333333,7.666666666666667,17.816666666666666,9.533333333333333,5.883333333333334,45.61666666666667,1.4,72.0,27.416666666666668,32.333333333333336,71.83333333333333,38.266666666666666,27.516666666666666,27.133333333333333,2.05,13.783333333333333,43.516666666666666
Hôtel Bonaventure Montréal,15.616666666666667,35.38333333333333,95.73333333333333,64.53333333333333,96.33333333333333,19.266666666666666,16.866666666666667,65.2,36.483333333333334,23.483333333333334,89.46666666666667,95.4,16.05,14.783333333333333,66.3,21.466666666666665,47.28333333333333,20.783333333333335,14.4,97.51666666666667,7.983333333333333,13.933333333333334,44.31666666666667,16.883333333333333,80.3,15.716666666666667,6.766666666666667,10.033333333333333,21.766666666666666,10.133333333333333,39.88333333333333,16.05,31.433333333333334,83.91666666666667,14.533333333333333,26.183333333333334,23.483333333333334,10.533333333333333,55.78333333333333,12.783333333333333,79.08333333333333,17.866666666666667,25.883333333333333,74.75,33.983333333333334,21.983333333333334,34.21666666666667,15.333333333333334,19.1,50.63333333333333
Le Square Phillips Hotel & Suites,13.716666666666667,32.6,87.58333333333333,62.266666666666666,88.18333333333334,17.0,15.533333333333333,62.233333333333334,42.06666666666667,21.583333333333332,81.31666666666666,87.25,13.433333333333334,12.883333333333333,62.18333333333333,19.566666666666666,38.7,18.883333333333333,7.666666666666667,89.36666666666666,3.783333333333333,8.116666666666667,44.983333333333334,14.983333333333333,78.03333333333333,13.633333333333333,6.183333333333334,8.083333333333334,19.283333333333335,3.466666666666667,46.016666666666666,9.9,29.183333333333334,75.76666666666667,13.183333333333334,18.833333333333332,21.583333333333332,9.15,49.65,10.883333333333333,70.93333333333334,15.6,31.916666666666668,75.41666666666667,27.4,28.15,26.066666666666666,13.433333333333334,17.683333333333334,42.483333333333334
Hotel William Gray,5.8,51.1,79.58333333333333,80.16666666666667,77.11666666666666,34.9,6.466666666666667,54.733333333333334,46.333333333333336,3.9166666666666665,70.46666666666667,79.3,31.733333333333334,5.9,54.68333333333333,5.483333333333333,44.35,2.95,14.9,78.3,15.533333333333333,26.533333333333335,40.916666666666664,4.55,95.93333333333334,31.683333333333334,23.033333333333335,10.95,6.75,21.866666666666667,45.55,12.15,47.666666666666664,67.71666666666667,8.5,17.05,3.9166666666666665,11.966666666666667,41.766666666666666,7.516666666666667,68.55,33.5,33.6,71.35,44.35,27.633333333333333,28.416666666666668,5.033333333333333,12.716666666666667,47.016666666666666
Hyatt Place Montréal – Downtown,19.65,48.65,72.21666666666667,78.46666666666667,72.81666666666666,33.2,22.916666666666668,43.5,60.416666666666664,13.666666666666666,65.95,71.88333333333334,28.783333333333335,19.3,43.45,21.933333333333334,39.03333333333333,14.333333333333334,14.933333333333334,74.0,20.333333333333332,23.733333333333334,57.36666666666667,19.683333333333334,94.23333333333333,31.016666666666666,23.833333333333332,17.833333333333332,10.416666666666666,21.016666666666666,62.0,11.4,45.233333333333334,60.4,24.95,3.95,13.683333333333334,20.633333333333333,30.916666666666668,19.3,55.56666666666667,31.8,49.6,65.2,40.03333333333333,44.083333333333336,15.5,18.6,29.166666666666668,37.93333333333333
Hotel Faubourg Montreal,11.883333333333333,43.7,80.26666666666667,73.28333333333333,80.86666666666666,28.016666666666666,15.266666666666667,51.71666666666667,51.95,11.55,74.0,79.93333333333334,24.6,11.066666666666666,51.666666666666664,14.4,34.93333333333333,9.65,8.383333333333333,82.05,11.216666666666667,19.55,49.65,11.916666666666666,89.05,25.083333333333332,17.166666666666668,9.0,8.766666666666667,15.083333333333334,54.35,4.65,40.28333333333333,68.45,16.483333333333334,8.316666666666666,11.55,11.8,39.13333333333333,10.533333333333333,63.61666666666667,26.616666666666667,41.35,73.41666666666667,37.06666666666667,36.43333333333333,19.3,10.833333333333334,21.483333333333334,36.833333333333336
Hotel Saint-Laurent Montreal,11.716666666666667,43.86666666666667,80.43333333333334,73.45,81.03333333333333,28.183333333333334,15.1,51.88333333333333,51.78333333333333,11.383333333333333,74.16666666666667,80.1,24.766666666666666,10.9,51.833333333333336,14.233333333333333,35.1,9.483333333333333,8.216666666666667,82.21666666666667,11.05,19.716666666666665,49.483333333333334,11.75,89.21666666666667,25.25,17.0,8.833333333333334,8.6,15.25,54.18333333333333,4.483333333333333,40.45,68.61666666666666,16.316666666666666,8.483333333333333,11.383333333333333,11.633333333333333,39.3,10.366666666666667,63.78333333333333,26.783333333333335,41.18333333333333,73.58333333333333,37.233333333333334,36.266666666666666,19.466666666666665,10.666666666666666,21.316666666666666,37.0
Hotel Nelligan,1.5666666666666667,47.733333333333334,83.56666666666666,76.8,81.1,31.533333333333335,2.5833333333333335,58.71666666666667,41.733333333333334,7.9,74.45,83.28333333333333,28.366666666666667,2.9,58.666666666666664,4.833333333333333,44.95,7.466666666666667,11.566666666666666,82.28333333333333,12.166666666666666,23.166666666666668,37.483333333333334,2.1,92.56666666666666,28.316666666666666,19.666666666666668,7.583333333333333,11.3,18.5,41.36666666666667,12.266666666666667,44.3,71.7,3.95,20.883333333333333,7.9,8.6,45.75,4.35,72.53333333333333,30.133333333333333,29.35,67.91666666666667,40.983333333333334,23.866666666666667,30.583333333333332,2.6166666666666667,9.666666666666666,46.96666666666667
Hotel Omni Mont-Royal,24.083333333333332,22.383333333333333,89.5,52.483333333333334,90.1,7.216666666666667,25.9,68.91666666666667,38.61666666666667,31.95,83.23333333333333,89.16666666666667,4.716666666666667,23.25,68.86666666666666,29.933333333333334,37.416666666666664,29.25,16.166666666666668,91.28333333333333,14.1,5.1,53.36666666666667,25.35,68.25,8.05,7.05,18.55,29.75,8.216666666666667,46.53333333333333,18.466666666666665,19.0,77.68333333333334,23.55,25.183333333333334,31.95,19.516666666666666,56.333333333333336,21.25,72.85,5.833333333333333,31.083333333333332,83.8,22.45,28.633333333333333,26.783333333333335,23.8,28.05,41.8
Doubletree By Hilton Montreal,16.45,41.31666666666667,75.88333333333334,72.33333333333333,76.48333333333333,27.216666666666665,19.833333333333332,49.78333333333333,55.766666666666666,15.716666666666667,69.61666666666666,75.55,22.0,15.633333333333333,49.733333333333334,18.966666666666665,32.2,14.633333333333333,10.366666666666667,77.66666666666667,15.666666666666666,16.9,54.21666666666667,16.483333333333334,88.1,25.2,19.266666666666666,13.566666666666666,12.933333333333334,15.816666666666666,58.916666666666664,6.8,37.75,64.06666666666666,21.05,6.05,15.716666666666667,16.366666666666667,37.2,15.1,59.233333333333334,25.816666666666666,45.916666666666664,71.48333333333333,33.166666666666664,41.0,14.95,15.4,26.05,32.483333333333334
Le St-Martin Hotel Particulier Montreal,21.583333333333332,24.883333333333333,89.45,53.95,90.05,8.683333333333334,23.4,66.41666666666667,37.233333333333334,29.45,83.18333333333334,89.11666666666666,6.283333333333333,20.75,66.36666666666666,27.433333333333334,38.983333333333334,26.75,13.666666666666666,91.23333333333333,11.6,5.566666666666666,51.93333333333333,22.85,69.71666666666667,6.666666666666667,4.566666666666666,16.05,27.25,5.75,44.916666666666664,15.966666666666667,21.5,77.63333333333334,21.05,22.683333333333334,29.45,17.016666666666666,53.833333333333336,18.75,72.8,7.283333333333333,30.233333333333334,82.36666666666666,25.016666666666666,27.2,27.933333333333334,21.3,25.55,43.36666666666667
Auberge Du Vieux Port,5.066666666666666,51.21666666666667,80.41666666666667,80.28333333333333,77.95,35.016666666666666,4.883333333333334,55.56666666666667,44.4,4.733333333333333,71.3,80.13333333333334,31.85,6.016666666666667,55.516666666666666,3.9,44.583333333333336,4.266666666666667,15.233333333333333,79.13333333333334,15.65,26.65,39.333333333333336,3.816666666666667,96.05,31.8,23.15,11.066666666666666,8.066666666666666,21.983333333333334,43.96666666666667,12.383333333333333,47.78333333333333,68.55,7.733333333333333,18.366666666666667,4.733333333333333,12.083333333333334,42.6,7.633333333333334,70.46666666666667,33.61666666666667,32.016666666666666,69.76666666666667,44.46666666666667,26.05,29.733333333333334,5.1,11.133333333333333,47.05
L'Appartement Hotel,19.266666666666666,28.433333333333334,82.06666666666666,59.916666666666664,82.66666666666667,15.266666666666667,21.233333333333334,62.916666666666664,45.85,27.133333333333333,75.8,81.73333333333333,8.933333333333334,18.433333333333334,62.86666666666667,25.116666666666667,31.883333333333333,24.433333333333334,10.816666666666666,83.85,9.133333333333333,5.0,51.333333333333336,20.533333333333335,75.68333333333334,15.283333333333333,10.55,13.266666666666667,24.466666666666665,5.916666666666667,52.68333333333333,13.233333333333333,24.866666666666667,70.25,18.9,19.183333333333334,27.133333333333333,14.35,50.333333333333336,16.433333333333334,65.41666666666667,13.916666666666666,38.583333333333336,81.76666666666667,22.133333333333333,34.81666666666667,20.55,18.983333333333334,24.0,36.266666666666666
