,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Hôtel Place d'Armes Old Montreal,2.433333333333333,44.833333333333336,88.65,73.98333333333333,82.1,28.7,6.283333333333333,58.61666666666667,42.71666666666667,9.55,75.28333333333333,88.25,25.616666666666667,1.45,58.55,7.65,41.93333333333333,6.8,8.616666666666667,83.33333333333333,9.433333333333334,20.566666666666666,41.266666666666666,3.6666666666666665,89.95,25.4,16.95,4.783333333333333,8.283333333333333,15.733333333333333,44.85,8.45,41.9,76.86666666666666,7.483333333333333,17.766666666666666,9.55,5.866666666666666,45.63333333333333,1.4,72.03333333333333,27.4,32.38333333333333,71.71666666666667,38.18333333333333,27.433333333333334,27.116666666666667,2.05,13.666666666666666,43.55
Hôtel Bonaventure Montréal,15.683333333333334,35.333333333333336,95.63333333333334,64.21666666666667,96.23333333333333,18.933333333333334,16.683333333333334,65.26666666666667,36.13333333333333,23.533333333333335,89.36666666666666,95.23333333333333,16.033333333333335,14.916666666666666,66.35,21.433333333333334,47.233333333333334,20.783333333333335,14.383333333333333,97.46666666666667,7.966666666666667,13.95,44.38333333333333,16.916666666666668,80.18333333333334,15.7,6.75,10.016666666666667,21.766666666666666,10.15,39.733333333333334,16.033333333333335,32.05,83.85,14.383333333333333,26.166666666666668,23.533333333333335,10.6,55.68333333333333,12.85,79.01666666666667,17.633333333333333,25.9,74.83333333333333,33.9,22.083333333333332,34.1,15.4,19.0,50.53333333333333
Le Square Phillips Hotel & Suites,13.766666666666667,32.56666666666667,87.58333333333333,62.166666666666664,88.18333333333334,16.883333333333333,15.0,62.36666666666667,42.11666666666667,21.616666666666667,81.31666666666666,87.18333333333334,13.433333333333334,13.0,62.3,19.516666666666666,38.6,18.866666666666667,7.666666666666667,89.41666666666667,3.8,8.116666666666667,45.0,15.0,78.13333333333334,13.566666666666666,6.183333333333334,8.083333333333334,19.3,3.466666666666667,45.88333333333333,9.9,29.233333333333334,75.8,13.15,18.866666666666667,21.616666666666667,9.183333333333334,49.766666666666666,10.933333333333334,70.96666666666667,15.583333333333334,32.016666666666666,75.45,27.3,28.15,26.05,13.483333333333333,17.683333333333334,42.483333333333334
Hotel William Gray,5.9,50.916666666666664,79.61666666666666,80.06666666666666,77.3,34.78333333333333,6.4,54.8,46.233333333333334,3.9166666666666665,70.48333333333333,79.31666666666666,31.7,5.9,54.733333333333334,5.483333333333333,44.35,2.8833333333333333,14.9,78.53333333333333,15.516666666666667,26.65,40.86666666666667,4.7,96.03333333333333,31.483333333333334,23.033333333333335,10.933333333333334,6.783333333333333,21.816666666666666,45.06666666666667,12.2,47.983333333333334,67.76666666666667,8.483333333333333,17.033333333333335,3.9166666666666665,11.95,41.81666666666667,7.516666666666667,68.43333333333334,33.483333333333334,33.61666666666667,71.31666666666666,44.266666666666666,27.6,28.366666666666667,5.15,12.75,46.983333333333334
Hyatt Place Montréal – Downtown,19.65,48.56666666666667,72.13333333333334,78.4,72.73333333333333,33.11666666666667,22.65,43.6,60.38333333333333,13.583333333333334,65.86666666666666,71.73333333333333,28.783333333333335,19.233333333333334,43.53333333333333,21.733333333333334,38.766666666666666,14.333333333333334,14.95,73.96666666666667,20.283333333333335,23.733333333333334,57.11666666666667,19.666666666666668,94.36666666666666,30.866666666666667,23.75,17.65,10.3,21.016666666666666,61.31666666666667,11.4,45.233333333333334,60.35,24.8,3.966666666666667,13.6,20.45,31.0,19.25,55.516666666666666,31.816666666666666,49.7,65.3,40.0,43.85,15.3,18.533333333333335,29.0,37.93333333333333
Hotel Faubourg Montreal,11.95,43.8,80.25,73.35,80.85,28.066666666666666,15.4,51.8,51.81666666666667,11.583333333333334,73.98333333333333,79.85,24.5,11.066666666666666,51.733333333333334,14.55,34.916666666666664,9.716666666666667,8.35,82.08333333333333,11.216666666666667,19.45,49.65,11.966666666666667,89.31666666666666,24.933333333333334,17.033333333333335,9.0,8.783333333333333,15.083333333333334,53.86666666666667,4.65,40.46666666666667,68.46666666666667,16.483333333333334,8.3,11.583333333333334,11.8,39.2,10.533333333333333,63.63333333333333,26.766666666666666,41.483333333333334,73.5,36.93333333333333,36.4,19.283333333333335,10.833333333333334,21.483333333333334,36.766666666666666
Hotel Saint-Laurent Montreal,11.783333333333333,43.96666666666667,80.41666666666667,73.51666666666667,81.01666666666667,28.233333333333334,15.233333333333333,51.96666666666667,51.65,11.416666666666666,74.15,80.01666666666667,24.666666666666668,10.9,51.9,14.383333333333333,35.083333333333336,9.55,8.183333333333334,82.25,11.05,19.616666666666667,49.483333333333334,11.8,89.48333333333333,25.1,16.866666666666667,8.833333333333334,8.616666666666667,15.25,53.7,4.483333333333333,40.63333333333333,68.63333333333334,16.316666666666666,8.466666666666667,11.416666666666666,11.633333333333333,39.36666666666667,10.366666666666667,63.8,26.933333333333334,41.31666666666667,73.66666666666667,37.1,36.233333333333334,19.45,10.666666666666666,21.316666666666666,36.93333333333333
Hotel Nelligan,1.5666666666666667,47.55,83.48333333333333,76.7,81.16666666666667,31.416666666666668,2.45,58.666666666666664,41.56666666666667,7.783333333333333,74.35,83.18333333333334,28.333333333333332,2.9,58.6,4.833333333333333,44.93333333333333,7.316666666666666,11.616666666666667,82.4,12.15,23.283333333333335,37.4,2.15,92.66666666666667,28.116666666666667,19.666666666666668,7.566666666666666,11.233333333333333,18.45,41.3,12.216666666666667,44.61666666666667,71.63333333333334,3.966666666666667,20.716666666666665,7.783333333333333,8.583333333333334,45.68333333333333,4.366666666666666,72.3,30.116666666666667,29.35,67.85,40.9,24.233333333333334,30.45,2.6166666666666667,9.6,46.88333333333333
Hotel Omni Mont-Royal,24.15,22.35,89.53333333333333,52.416666666666664,90.13333333333334,7.133333333333334,25.383333333333333,69.03333333333333,38.666666666666664,32.0,83.26666666666667,89.13333333333334,4.716666666666667,23.383333333333333,68.96666666666667,29.9,37.35,29.25,16.016666666666666,91.36666666666666,14.183333333333334,5.183333333333334,53.46666666666667,25.383333333333333,68.38333333333334,8.133333333333333,7.05,18.45,29.666666666666668,8.233333333333333,46.45,18.35,19.066666666666666,77.75,23.533333333333335,25.2,32.0,19.566666666666666,56.43333333333333,21.316666666666666,72.91666666666667,5.833333333333333,31.266666666666666,83.91666666666667,22.433333333333334,28.716666666666665,26.783333333333335,23.866666666666667,28.066666666666666,41.78333333333333
Doubletree By Hilton Montreal,16.516666666666666,41.28333333333333,76.08333333333333,72.15,76.68333333333334,27.133333333333333,19.966666666666665,49.9,55.766666666666666,15.733333333333333,69.81666666666666,75.68333333333334,22.083333333333332,15.633333333333333,49.833333333333336,19.116666666666667,32.233333333333334,14.716666666666667,10.566666666666666,77.91666666666667,15.666666666666666,16.866666666666667,54.21666666666667,16.533333333333335,88.11666666666666,25.233333333333334,19.366666666666667,13.566666666666666,12.933333333333334,15.816666666666666,58.43333333333333,6.8,37.81666666666667,64.3,21.05,6.066666666666666,15.733333333333333,16.366666666666667,37.3,15.1,59.46666666666667,25.833333333333332,46.05,71.6,33.15,40.96666666666667,14.933333333333334,15.4,26.05,32.483333333333334
