,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Notre-Dame Basilica,N,40.78333333333333,63.63333333333333,50.56666666666667,60.96666666666667,28.433333333333334,N,37.11666666666667,25.533333333333335,N,57.2,57.733333333333334,22.4,N,37.95,N,22.65,N,N,62.81666666666667,N,N,25.983333333333334,N,46.88333333333333,N,N,N,N,N,26.033333333333335,N,39.13333333333333,52.4,N,13.55,N,N,N,N,50.88333333333333,24.733333333333334,N,38.96666666666667,30.416666666666668,N,27.966666666666665,N,N,25.95
Mount Royal Park,33.833333333333336,N,55.03333333333333,30.683333333333334,62.833333333333336,N,47.38333333333333,70.76666666666667,N,35.31666666666667,55.666666666666664,59.416666666666664,N,34.1,71.6,40.516666666666666,21.983333333333334,36.13333333333333,37.13333333333333,64.01666666666667,32.85,N,59.63333333333333,35.1,41.1,N,N,35.96666666666667,31.5,N,57.43333333333333,42.71666666666667,N,50.266666666666666,44.083333333333336,28.283333333333335,35.31666666666667,31.65,66.0,31.35,45.85,N,N,72.61666666666666,N,N,29.066666666666666,33.81666666666667,48.38333333333333,23.883333333333333
Montreal Botanical Garden,64.28333333333333,60.916666666666664,N,76.85,N,60.85,65.26666666666667,94.5,87.0,61.3,N,N,59.36666666666667,63.43333333333333,66.95,67.8,45.95,61.81666666666667,57.06666666666667,N,60.68333333333333,55.95,91.83333333333333,65.55,71.21666666666667,62.8,61.416666666666664,59.61666666666667,58.6,57.11666666666667,86.38333333333334,54.68333333333333,65.36666666666666,N,67.1,49.28333333333333,61.3,63.28333333333333,55.733333333333334,62.78333333333333,N,59.36666666666667,81.76666666666667,96.35,56.88333333333333,77.93333333333334,45.61666666666667,64.03333333333333,73.66666666666667,44.45
Saint Joseph's Oratory of Mount Royal,50.43333333333333,28.75,80.98333333333333,N,85.5,28.883333333333333,50.96666666666667,70.45,43.03333333333333,52.233333333333334,80.98333333333333,83.91666666666667,39.4,49.416666666666664,71.28333333333333,53.416666666666664,39.86666666666667,51.733333333333334,44.31666666666667,86.3,40.233333333333334,36.7,59.31666666666667,50.68333333333333,N,32.016666666666666,39.38333333333333,43.15,50.416666666666664,42.2,51.8,44.016666666666666,34.733333333333334,79.63333333333334,51.266666666666666,50.983333333333334,52.233333333333334,45.78333333333333,69.68333333333334,46.31666666666667,61.45,29.2,49.2,72.3,23.866666666666667,46.86666666666667,49.65,49.6,55.28333333333333,43.38333333333333
Biodôme De Montreal,59.13333333333333,66.33333333333333,N,83.95,N,56.5,62.96666666666667,86.15,82.65,57.13333333333333,N,N,55.016666666666666,58.28333333333333,86.98333333333333,63.333333333333336,55.81666666666667,57.81666666666667,52.71666666666667,N,56.1,51.6,75.01666666666667,60.4,82.83333333333333,58.45,56.63333333333333,55.15,54.43333333333333,52.766666666666666,89.81666666666666,50.333333333333336,66.36666666666666,N,62.93333333333333,44.93333333333333,57.13333333333333,58.2,45.61666666666667,57.93333333333333,30.966666666666665,55.016666666666666,81.03333333333333,88.0,69.1,78.93333333333334,41.266666666666666,58.88333333333333,69.31666666666666,53.4
Musée des beaux-arts de Montréal,26.566666666666666,N,63.68333333333333,29.866666666666667,59.43333333333333,N,30.483333333333334,51.31666666666667,N,34.96666666666667,57.25,57.78333333333333,N,26.833333333333332,52.15,33.25,35.53333333333333,32.18333333333333,N,60.5,N,N,40.18333333333333,27.833333333333332,44.28333333333333,N,N,20.7,31.283333333333335,N,33.31666666666667,20.616666666666667,N,52.45,24.166666666666668,22.666666666666668,34.96666666666667,24.316666666666666,45.25,24.083333333333332,59.15,N,N,53.166666666666664,N,N,23.516666666666666,26.55,27.933333333333334,41.333333333333336
Pointe-a-Calliere Montreal Archaeology and History Complex,N,42.0,62.516666666666666,51.78333333333333,58.266666666666666,24.75,N,30.433333333333334,26.183333333333334,N,56.083333333333336,56.61666666666667,24.2,N,31.266666666666666,N,26.183333333333334,N,N,59.333333333333336,N,21.266666666666666,19.3,N,50.416666666666664,21.983333333333334,15.1,N,N,N,22.166666666666668,N,37.15,51.28333333333333,N,12.433333333333334,N,N,N,N,65.5,23.366666666666667,N,32.28333333333333,33.95,N,32.43333333333333,N,N,29.483333333333334
Biosphere,33.0,59.96666666666667,97.26666666666667,67.9,104.95,44.083333333333336,29.933333333333334,N,51.85,41.1,97.9,101.65,40.7,32.8,N,35.35,60.516666666666666,38.31666666666667,46.9,105.75,33.416666666666664,40.28333333333333,N,34.266666666666666,79.01666666666667,40.36666666666667,32.15,35.46666666666667,46.43333333333333,35.65,49.81666666666667,45.666666666666664,60.266666666666666,92.5,28.8,58.35,41.1,32.06666666666667,N,31.9,86.16666666666667,42.7,47.78333333333333,N,64.08333333333333,35.733333333333334,56.8,32.266666666666666,30.15,63.75
Atwater Market,24.75,N,86.85,41.766666666666666,83.53333333333333,24.666666666666668,25.8,44.8,N,39.96666666666667,79.01666666666667,87.86666666666666,26.983333333333334,23.8,45.63333333333333,30.566666666666666,54.516666666666666,29.85,30.066666666666666,84.33333333333333,24.05,30.583333333333332,33.666666666666664,26.016666666666666,51.75,24.516666666666666,30.45,25.05,32.43333333333333,35.05,N,35.53333333333333,38.65,77.66666666666667,23.35,40.46666666666667,39.96666666666667,22.916666666666668,61.03333333333333,23.0,77.4,24.683333333333334,N,46.65,38.983333333333334,N,34.38333333333333,24.35,27.85,57.81666666666667
Notre-Dame-de-Bon-Secours Chapel,N,47.71666666666667,63.53333333333333,60.166666666666664,59.05,30.05,N,49.88333333333333,37.28333333333333,N,57.1,57.63333333333333,29.5,N,50.71666666666667,N,27.033333333333335,N,N,60.35,N,24.15,38.75,N,51.55,27.283333333333335,20.4,N,N,19.75,42.88333333333333,N,42.45,52.3,N,N,N,N,N,N,59.0,28.666666666666668,37.85,51.733333333333334,35.083333333333336,N,22.783333333333335,N,N,36.86666666666667
Olympic Park (Parc olympique),57.85,58.583333333333336,N,74.51666666666667,N,52.3,61.38333333333333,90.35,73.25,48.4,N,N,50.81666666666667,54.416666666666664,91.18333333333334,56.8,46.11666666666667,49.21666666666667,47.65,N,51.71666666666667,47.4,79.21666666666667,57.88333333333333,77.16666666666667,54.25,52.9,51.36666666666667,44.583333333333336,48.9,81.01666666666667,46.13333333333333,63.03333333333333,N,61.233333333333334,40.96666666666667,48.4,54.416666666666664,45.18333333333333,55.68333333333333,21.583333333333332,50.81666666666667,77.16666666666667,92.2,54.55,70.13333333333334,37.06666666666667,56.8,67.5,43.55
