,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Hôtel Place d'Armes Old Montreal,N,44.46666666666667,56.8,55.78333333333333,50.25,24.733333333333334,N,31.783333333333335,22.333333333333332,N,51.45,58.96666666666667,N,N,32.6,N,23.516666666666666,N,N,52.083333333333336,N,17.983333333333334,20.833333333333332,N,44.93333333333333,N,N,N,N,N,26.65,N,N,49.766666666666666,N,N,N,N,N,N,53.0,22.516666666666666,N,36.333333333333336,28.65,N,19.2,N,N,28.266666666666666
Hôtel Bonaventure Montréal,N,N,60.68333333333333,44.96666666666667,54.13333333333333,N,N,25.766666666666666,23.083333333333332,18.966666666666665,55.333333333333336,62.85,N,N,26.583333333333332,N,37.166666666666664,N,N,55.96666666666667,N,N,14.816666666666666,N,51.43333333333333,N,N,N,19.233333333333334,N,24.4,N,N,53.65,N,20.266666666666666,18.966666666666665,N,38.46666666666667,N,67.91666666666667,N,N,30.316666666666666,N,N,32.833333333333336,N,N,37.28333333333333
Le Square Phillips Hotel & Suites,N,N,54.31666666666667,44.666666666666664,47.766666666666666,N,N,32.43333333333333,25.05,16.316666666666666,48.96666666666667,56.483333333333334,N,N,33.25,N,28.85,N,N,49.6,N,N,21.483333333333334,N,42.71666666666667,N,N,N,N,N,29.433333333333334,N,N,47.28333333333333,N,13.9,16.316666666666666,N,32.1,N,46.233333333333334,N,30.8,36.983333333333334,N,N,24.95,N,N,31.55
Hotel William Gray,N,49.333333333333336,58.36666666666667,57.78333333333333,51.81666666666667,31.25,N,34.733333333333334,27.6,N,55.266666666666666,60.53333333333333,25.6,N,35.55,N,32.733333333333334,N,N,53.65,N,23.216666666666665,23.783333333333335,N,51.06666666666667,27.016666666666666,17.783333333333335,N,N,N,29.416666666666668,N,35.85,51.333333333333336,N,N,N,N,N,N,52.06666666666667,29.033333333333335,31.2,39.28333333333333,35.61666666666667,N,17.683333333333334,N,N,35.016666666666666
Hyatt Place Montréal – Downtown,14.95,43.78333333333333,48.416666666666664,54.06666666666667,41.86666666666667,26.583333333333332,12.7,48.68333333333333,35.21666666666667,N,43.06666666666667,50.583333333333336,26.216666666666665,15.45,49.5,12.45,31.0,N,N,43.7,13.85,N,32.56666666666667,15.033333333333333,54.5,23.883333333333333,16.55,N,N,15.716666666666667,47.516666666666666,N,48.18333333333333,41.38333333333333,26.65,N,N,N,N,14.933333333333334,43.833333333333336,25.65,34.28333333333333,53.233333333333334,39.55,35.7,N,15.5,27.3,25.75
Hotel Faubourg Montreal,N,40.96666666666667,49.15,50.266666666666666,42.6,22.216666666666665,N,44.88333333333333,30.45,N,43.8,51.31666666666667,N,N,45.7,N,24.816666666666666,N,N,44.43333333333333,N,N,29.9,N,49.45,19.516666666666666,13.55,N,N,N,42.38333333333333,N,51.86666666666667,42.11666666666667,N,N,N,N,N,N,47.3,21.283333333333335,38.583333333333336,47.63333333333333,30.483333333333334,33.03333333333333,N,N,N,29.566666666666666
Hotel Saint-Laurent Montreal,N,40.8,48.983333333333334,50.1,42.43333333333333,22.05,N,44.71666666666667,30.283333333333335,N,43.63333333333333,51.15,N,N,45.53333333333333,N,24.65,N,N,44.266666666666666,N,N,29.733333333333334,N,49.28333333333333,19.35,13.383333333333333,N,N,N,42.21666666666667,N,51.7,41.95,N,N,N,N,N,N,47.46666666666667,21.116666666666667,38.416666666666664,47.46666666666667,30.316666666666666,32.86666666666667,N,N,N,29.4
Hotel Nelligan,N,43.45,59.766666666666666,58.75,53.21666666666667,29.766666666666666,N,30.1,23.9,N,56.983333333333334,61.93333333333333,28.766666666666666,N,30.916666666666668,N,28.55,N,N,55.05,N,N,19.15,N,47.9,N,N,N,N,N,24.683333333333334,N,54.86666666666667,52.733333333333334,N,N,N,N,N,N,57.38333333333333,27.55,N,34.65,33.68333333333333,N,22.35,N,N,33.3
Hotel Omni Mont-Royal,21.55,N,57.733333333333334,32.63333333333333,51.8,N,18.016666666666666,35.4,27.916666666666668,23.316666666666666,47.5,45.65,N,22.616666666666667,36.21666666666667,21.1,29.133333333333333,23.233333333333334,N,52.61666666666667,N,N,24.45,20.383333333333333,45.03333333333333,N,N,N,23.583333333333332,N,26.233333333333334,N,N,56.46666666666667,25.116666666666667,19.916666666666668,23.316666666666666,N,N,N,55.95,N,26.466666666666665,39.95,N,N,23.233333333333334,21.766666666666666,18.033333333333335,33.88333333333333
Doubletree By Hilton Montreal,N,N,52.266666666666666,47.483333333333334,47.06666666666667,20.9,N,46.6,35.43333333333333,N,42.03333333333333,55.78333333333333,N,N,47.416666666666664,N,25.266666666666666,N,N,48.9,N,N,35.65,N,47.333333333333336,N,N,N,N,N,52.28333333333333,N,N,51.0,N,N,N,N,N,N,50.483333333333334,18.683333333333334,43.56666666666667,51.15,N,38.78333333333333,N,N,N,30.016666666666666
