,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Hôtel Place d'Armes Old Montreal,2.8666666666666667,12.95,17.033333333333335,18.166666666666668,14.716666666666667,6.75,3.15,11.666666666666666,7.566666666666666,3.25,11.516666666666667,13.483333333333333,9.6,2.4833333333333334,11.366666666666667,2.8833333333333333,6.483333333333333,3.1666666666666665,5.95,15.2,3.85,6.366666666666666,7.766666666666667,3.4,12.366666666666667,5.383333333333334,5.683333333333334,1.65,3.816666666666667,4.916666666666667,9.016666666666667,3.65,17.3,12.15,2.6166666666666667,5.616666666666666,3.25,4.683333333333334,13.75,2.2666666666666666,12.35,7.033333333333333,6.383333333333334,14.216666666666667,10.583333333333334,8.65,5.066666666666666,2.6166666666666667,4.983333333333333,9.65
Hôtel Bonaventure Montréal,7.4,14.366666666666667,20.7,18.166666666666668,17.9,6.433333333333334,8.133333333333333,13.7,8.866666666666667,7.3,14.7,16.883333333333333,9.283333333333333,7.016666666666667,14.233333333333333,7.916666666666667,9.733333333333333,7.933333333333334,8.083333333333334,18.766666666666666,5.983333333333333,6.666666666666667,8.8,7.933333333333334,13.266666666666667,5.333333333333333,5.5,5.483333333333333,7.65,5.216666666666667,10.183333333333334,7.016666666666667,17.95,15.133333333333333,6.283333333333333,8.75,7.3,7.5,16.616666666666667,5.7,15.333333333333334,6.716666666666667,6.583333333333333,14.966666666666667,12.6,9.116666666666667,8.05,7.15,8.066666666666666,12.9
Le Square Phillips Hotel & Suites,6.416666666666667,14.266666666666667,19.766666666666666,18.066666666666666,17.6,6.616666666666666,7.15,13.5,9.05,6.716666666666667,14.916666666666666,15.95,9.466666666666667,6.033333333333333,13.2,7.116666666666666,8.8,7.133333333333334,7.05,17.833333333333332,4.95,6.266666666666667,9.2,6.95,13.916666666666666,5.283333333333333,5.583333333333333,4.45,6.616666666666666,4.816666666666666,10.45,5.983333333333333,17.55,14.2,5.3,7.716666666666667,6.716666666666667,6.466666666666667,15.583333333333334,4.716666666666667,14.4,6.9,8.066666666666666,15.366666666666667,11.666666666666666,10.233333333333333,7.116666666666666,6.166666666666667,7.75,11.966666666666667
Hotel William Gray,5.4,15.4,19.433333333333334,20.616666666666667,17.116666666666667,9.2,4.65,14.066666666666666,10.016666666666667,4.883333333333334,13.916666666666666,15.883333333333333,12.05,5.016666666666667,13.766666666666667,4.433333333333334,8.933333333333334,4.8,8.4,17.6,6.3,8.816666666666666,10.133333333333333,4.7,14.816666666666666,7.833333333333333,8.133333333333333,4.1,6.216666666666667,7.366666666666666,10.866666666666667,6.1,19.75,14.6,4.133333333333334,8.016666666666667,4.883333333333334,7.133333333333334,16.15,4.8,14.8,9.483333333333333,9.0,16.3,13.033333333333333,10.5,7.516666666666667,5.15,6.483333333333333,12.1
Hyatt Place Montréal – Downtown,7.333333333333333,15.116666666666667,17.266666666666666,20.5,15.1,8.766666666666667,7.4,10.666666666666666,10.45,5.45,12.416666666666666,13.45,11.616666666666667,6.95,10.366666666666667,7.133333333333334,8.916666666666666,6.066666666666666,8.05,15.333333333333334,6.366666666666666,8.366666666666667,10.65,7.2,15.25,7.483333333333333,7.783333333333333,5.033333333333333,5.35,7.016666666666667,11.9,6.016666666666667,19.466666666666665,11.7,6.883333333333334,4.583333333333333,5.45,7.883333333333334,12.75,6.316666666666666,11.9,9.05,9.116666666666667,13.216666666666667,12.75,11.533333333333333,4.683333333333334,7.083333333333333,9.233333333333333,11.683333333333334
Hotel Faubourg Montreal,5.916666666666667,14.083333333333334,18.366666666666667,19.033333333333335,16.2,7.616666666666666,5.983333333333333,11.7,9.033333333333333,4.916666666666667,13.516666666666667,14.55,10.466666666666667,5.533333333333333,11.4,5.716666666666667,7.616666666666666,5.533333333333333,6.816666666666666,16.433333333333334,5.133333333333334,7.233333333333333,9.233333333333333,5.783333333333333,13.833333333333334,6.25,6.55,3.6166666666666667,4.816666666666666,5.783333333333333,10.483333333333333,4.783333333333333,18.516666666666666,12.8,5.466666666666667,5.5,4.916666666666667,6.65,13.783333333333333,5.083333333333333,13.0,7.9,7.7,14.25,11.716666666666667,10.116666666666667,5.333333333333333,5.666666666666667,7.816666666666666,10.783333333333333
Hotel Saint-Laurent Montreal,5.783333333333333,13.95,18.65,18.9,16.483333333333334,7.483333333333333,5.85,11.566666666666666,8.9,4.783333333333333,13.8,14.833333333333334,10.333333333333334,5.4,11.266666666666667,5.583333333333333,7.483333333333333,5.4,6.683333333333334,16.716666666666665,5.0,7.1,9.1,5.65,13.7,6.116666666666666,6.416666666666667,3.4833333333333334,4.683333333333334,5.65,10.35,4.65,18.383333333333333,13.083333333333334,5.333333333333333,5.783333333333333,4.783333333333333,6.516666666666667,13.65,4.95,13.283333333333333,7.766666666666667,7.566666666666666,14.116666666666667,11.583333333333334,9.983333333333333,5.616666666666666,5.533333333333333,7.683333333333334,10.65
Hotel Nelligan,N,17.333333333333332,20.4,21.133333333333333,18.083333333333332,9.716666666666667,4.1,15.033333333333333,10.933333333333334,6.833333333333333,14.883333333333333,16.85,12.566666666666666,5.75,14.733333333333333,6.65,10.116666666666667,6.666666666666667,9.583333333333334,18.566666666666666,6.666666666666667,9.083333333333334,10.566666666666666,N,15.983333333333333,8.35,8.4,5.283333333333333,7.183333333333334,7.633333333333334,10.5,7.283333333333333,20.616666666666667,15.783333333333333,3.1,8.983333333333333,6.833333333333333,8.316666666666666,17.116666666666667,4.433333333333334,15.983333333333333,10.0,8.35,16.733333333333334,14.216666666666667,10.133333333333333,8.7,5.883333333333334,6.916666666666667,13.283333333333333
Hotel Omni Mont-Royal,7.55,11.566666666666666,18.45,15.366666666666667,16.283333333333335,3.6333333333333333,8.383333333333333,13.616666666666667,8.133333333333333,7.933333333333334,13.6,14.633333333333333,6.483333333333333,7.166666666666667,13.316666666666666,8.066666666666666,7.483333333333333,8.083333333333334,8.05,16.516666666666666,5.9,4.333333333333333,10.2,8.083333333333334,14.016666666666667,2.783333333333333,5.116666666666666,5.566666666666666,7.833333333333333,4.433333333333334,11.533333333333333,7.2,15.283333333333333,12.883333333333333,6.316666666666666,8.1,7.933333333333334,7.416666666666667,15.7,5.85,13.083333333333334,3.9166666666666665,6.933333333333334,16.166666666666668,10.033333333333333,10.25,5.8,7.3,9.216666666666667,10.65
Doubletree By Hilton Montreal,8.666666666666666,14.016666666666667,18.016666666666666,19.6,15.85,7.866666666666666,8.733333333333333,12.216666666666667,11.866666666666667,6.683333333333334,13.166666666666666,14.2,10.716666666666667,8.283333333333333,11.916666666666666,8.466666666666667,7.55,7.3,8.133333333333333,16.083333333333332,6.983333333333333,7.466666666666667,12.016666666666667,8.533333333333333,16.733333333333334,7.016666666666667,8.183333333333334,5.6,6.583333333333333,6.616666666666666,13.266666666666667,6.366666666666666,18.366666666666667,12.45,7.4,6.366666666666666,6.683333333333334,8.5,14.3,6.933333333333334,12.65,8.15,10.883333333333333,14.766666666666667,11.65,13.05,4.983333333333333,8.416666666666666,10.566666666666666,10.716666666666667
