,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Hôtel Place d'Armes Old Montreal,4.116666666666666,13.233333333333333,20.133333333333333,16.683333333333334,16.6,6.633333333333334,3.433333333333333,12.816666666666666,9.5,4.933333333333334,13.5,15.666666666666666,8.766666666666667,3.2,13.283333333333333,4.266666666666667,9.933333333333334,4.366666666666666,6.85,17.033333333333335,3.8666666666666667,6.383333333333334,7.233333333333333,4.383333333333334,13.15,4.8,5.833333333333333,2.85,5.816666666666666,4.816666666666666,8.4,5.616666666666666,18.4,13.316666666666666,3.05,6.7,4.933333333333334,4.283333333333333,15.0,1.15,14.766666666666667,6.6,6.166666666666667,14.05,10.25,8.8,6.783333333333333,3.8666666666666667,5.233333333333333,12.466666666666667
Hôtel Bonaventure Montréal,7.266666666666667,14.5,21.75,16.616666666666667,17.466666666666665,7.033333333333333,6.966666666666667,13.683333333333334,9.7,8.083333333333334,14.366666666666667,17.283333333333335,8.8,6.466666666666667,14.15,7.416666666666667,11.633333333333333,7.516666666666667,8.55,17.9,5.483333333333333,7.416666666666667,9.35,7.533333333333333,13.5,4.733333333333333,5.966666666666667,5.033333333333333,7.466666666666667,5.6,9.45,7.383333333333334,18.433333333333334,14.183333333333334,5.333333333333333,8.316666666666666,8.083333333333334,6.6,15.866666666666667,5.85,15.766666666666667,6.85,6.966666666666667,16.166666666666668,12.283333333333333,9.433333333333334,8.4,7.016666666666667,8.116666666666667,14.166666666666666
Le Square Phillips Hotel & Suites,6.6,14.266666666666667,20.483333333333334,16.383333333333333,17.283333333333335,6.4,6.3,13.316666666666666,9.533333333333333,7.416666666666667,14.183333333333334,16.016666666666666,8.533333333333333,6.05,13.783333333333333,6.75,10.283333333333333,6.85,7.2,17.716666666666665,4.133333333333334,6.15,8.433333333333334,6.866666666666666,13.9,4.5,5.083333333333333,4.366666666666666,7.3,4.333333333333333,9.6,6.033333333333333,18.166666666666668,14.0,4.65,6.966666666666667,7.416666666666667,5.933333333333334,15.5,5.183333333333334,15.116666666666667,6.366666666666666,7.516666666666667,15.25,10.933333333333334,10.4,7.133333333333334,6.35,7.433333333333334,12.816666666666666
Hotel William Gray,4.133333333333334,15.566666666666666,20.466666666666665,19.016666666666666,16.733333333333334,8.966666666666667,5.766666666666667,12.95,11.833333333333334,4.35,13.633333333333333,16.0,11.1,4.266666666666667,13.416666666666666,4.5,11.283333333333333,3.783333333333333,8.416666666666666,17.166666666666668,6.2,8.716666666666667,9.233333333333333,4.666666666666667,15.483333333333333,7.133333333333334,8.166666666666666,5.183333333333334,4.733333333333333,7.15,10.133333333333333,7.266666666666667,20.733333333333334,13.45,5.383333333333334,6.566666666666666,4.35,6.616666666666666,15.133333333333333,3.4833333333333334,15.033333333333333,8.933333333333334,8.5,16.05,12.583333333333334,11.133333333333333,6.55,3.8833333333333333,6.25,13.033333333333333
Hyatt Place Montréal – Downtown,7.0,15.45,18.133333333333333,19.0,15.583333333333334,8.583333333333334,7.6,11.833333333333334,12.15,6.0,12.7,13.666666666666666,10.716666666666667,7.133333333333334,12.3,7.15,9.783333333333333,5.85,7.383333333333334,16.283333333333335,6.283333333333333,8.333333333333334,10.416666666666666,7.266666666666667,15.616666666666667,7.116666666666666,8.15,6.15,5.533333333333333,7.133333333333334,11.683333333333334,5.4,20.35,12.616666666666667,7.216666666666667,4.816666666666666,6.0,8.45,14.016666666666667,5.316666666666666,12.766666666666667,8.55,9.033333333333333,16.916666666666668,12.466666666666667,11.666666666666666,4.583333333333333,6.75,9.166666666666666,11.533333333333333
Hotel Faubourg Montreal,5.366666666666666,14.383333333333333,18.933333333333334,17.45,15.583333333333334,7.516666666666667,6.233333333333333,11.616666666666667,10.6,6.133333333333334,12.483333333333333,14.466666666666667,9.65,5.5,12.083333333333334,5.516666666666667,9.6,5.616666666666666,6.3,16.016666666666666,4.733333333333333,7.266666666666667,9.5,5.633333333333334,14.966666666666667,5.566666666666666,6.6,4.6,5.666666666666667,5.583333333333333,10.666666666666666,4.316666666666666,19.283333333333335,12.3,5.85,5.266666666666667,6.133333333333334,6.95,13.8,3.95,13.566666666666666,7.483333333333333,8.583333333333334,16.316666666666666,11.4,11.466666666666667,5.516666666666667,5.116666666666666,7.533333333333333,12.0
Hotel Saint-Laurent Montreal,5.55,14.45,19.35,17.633333333333333,15.766666666666667,7.85,6.416666666666667,11.8,10.783333333333333,6.316666666666666,12.666666666666666,14.883333333333333,9.983333333333333,5.683333333333334,12.266666666666667,5.7,9.933333333333334,5.8,6.85,16.2,4.916666666666667,7.6,9.683333333333334,5.816666666666666,15.15,5.75,6.783333333333333,4.783333333333333,5.85,5.766666666666667,10.85,5.083333333333333,19.616666666666667,12.483333333333333,6.033333333333333,5.45,6.316666666666666,7.133333333333334,13.983333333333333,4.133333333333334,13.633333333333333,7.816666666666666,8.766666666666667,16.5,11.466666666666667,11.65,5.433333333333334,5.3,7.716666666666667,11.916666666666666
Hotel Nelligan,N,15.566666666666666,22.0,19.016666666666666,18.083333333333332,8.966666666666667,4.25,14.3,11.833333333333334,5.25,14.983333333333333,17.533333333333335,11.1,4.133333333333334,14.766666666666667,4.783333333333333,12.466666666666667,5.633333333333334,9.383333333333333,18.516666666666666,6.2,8.716666666666667,8.783333333333333,4.216666666666667,15.483333333333333,7.133333333333334,8.166666666666666,5.183333333333334,6.75,7.15,9.683333333333334,8.233333333333333,20.733333333333334,14.8,4.916666666666667,8.183333333333334,5.25,6.616666666666666,16.483333333333334,3.4833333333333334,16.383333333333333,8.933333333333334,8.883333333333333,15.6,12.583333333333334,10.65,8.166666666666666,3.7666666666666666,5.8,14.65
Hotel Omni Mont-Royal,7.65,11.866666666666667,19.066666666666666,13.983333333333333,16.516666666666666,3.55,7.816666666666666,13.8,8.666666666666666,8.466666666666667,14.516666666666667,14.6,5.35,7.566666666666666,14.266666666666667,7.8,9.133333333333333,7.9,7.483333333333333,17.216666666666665,5.383333333333334,4.466666666666667,8.983333333333333,7.916666666666667,13.933333333333334,3.2,4.866666666666666,5.633333333333334,8.816666666666666,4.333333333333333,10.05,6.166666666666667,14.983333333333333,13.55,6.166666666666667,7.483333333333333,8.466666666666667,7.45,15.983333333333333,6.233333333333333,13.7,3.5166666666666666,7.066666666666666,15.8,9.966666666666667,9.933333333333334,5.716666666666667,7.4,8.1,11.666666666666666
Doubletree By Hilton Montreal,6.933333333333334,14.35,18.366666666666667,17.916666666666668,15.816666666666666,7.483333333333333,7.8,12.033333333333333,12.433333333333334,7.633333333333334,13.816666666666666,13.9,9.616666666666667,7.066666666666666,12.5,7.083333333333333,9.65,7.183333333333334,7.683333333333334,16.516666666666666,6.566666666666666,7.233333333333333,11.333333333333334,7.2,16.8,7.133333333333334,8.266666666666667,6.433333333333334,7.166666666666667,7.1,12.5,5.4,19.25,12.85,7.416666666666667,5.45,7.633333333333334,8.65,14.216666666666667,5.516666666666667,13.0,7.45,10.416666666666666,17.116666666666667,11.366666666666667,13.166666666666666,4.916666666666667,6.683333333333334,9.1,11.4
