,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Hôtel Place d'Armes Old Montreal,N,N,37.95,39.983333333333334,27.883333333333333,N,N,22.75,20.3,N,28.283333333333335,36.56666666666667,N,N,23.583333333333332,N,26.45,N,N,29.733333333333334,N,N,N,N,27.233333333333334,N,N,N,N,N,N,N,N,27.15,N,N,N,N,N,N,N,N,N,42.06666666666667,N,N,14.533333333333333,N,N,25.85
Hôtel Bonaventure Montréal,N,N,40.983333333333334,39.016666666666666,30.916666666666668,N,N,26.783333333333335,19.333333333333332,N,31.316666666666666,39.6,N,N,27.616666666666667,N,30.483333333333334,N,N,32.766666666666666,N,N,N,N,26.266666666666666,N,N,N,N,N,N,N,N,30.183333333333334,N,14.383333333333333,N,N,N,N,N,N,N,46.1,N,N,18.566666666666666,N,N,28.883333333333333
Le Square Phillips Hotel & Suites,N,N,36.15,40.983333333333334,26.083333333333332,N,N,26.75,22.3,N,26.483333333333334,34.766666666666666,N,N,27.583333333333332,N,N,N,N,27.933333333333334,N,N,N,N,28.233333333333334,N,N,N,N,N,N,N,N,25.35,N,N,N,N,N,N,N,N,N,46.06666666666667,N,N,N,N,N,28.85
Hotel William Gray,N,N,41.9,45.93333333333333,31.833333333333332,N,N,27.7,26.25,N,32.233333333333334,40.516666666666666,N,N,28.533333333333335,N,N,N,N,33.68333333333333,N,N,N,N,33.18333333333333,N,N,N,N,N,N,N,N,31.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29.8
Hyatt Place Montréal – Downtown,N,N,28.783333333333335,42.81666666666667,18.716666666666665,17.683333333333334,N,12.6,23.133333333333333,N,19.116666666666667,27.4,N,N,13.433333333333334,N,23.283333333333335,N,N,20.566666666666666,N,12.8,N,N,30.066666666666666,17.266666666666666,N,N,N,N,32.516666666666666,N,N,17.983333333333334,N,N,N,N,N,N,N,16.683333333333334,25.266666666666666,31.916666666666668,N,N,N,N,N,21.683333333333334
Hotel Faubourg Montreal,N,N,33.333333333333336,43.38333333333333,23.266666666666666,N,N,17.783333333333335,24.683333333333334,N,23.666666666666668,31.95,N,N,18.616666666666667,N,N,N,N,25.116666666666667,N,N,N,N,30.633333333333333,N,N,N,N,N,34.06666666666667,N,N,22.533333333333335,N,N,N,N,N,N,N,N,N,37.1,N,N,N,N,N,N
Hotel Saint-Laurent Montreal,N,N,33.5,43.21666666666667,23.433333333333334,N,N,17.95,24.533333333333335,N,23.833333333333332,32.11666666666667,N,N,18.783333333333335,N,N,N,N,25.283333333333335,N,N,N,N,30.466666666666665,N,N,N,N,N,35.233333333333334,N,N,22.7,N,N,N,N,N,N,N,N,N,37.266666666666666,N,N,N,N,N,N
Hotel Nelligan,N,N,40.916666666666664,42.95,30.85,N,N,26.716666666666665,24.266666666666666,N,31.25,39.53333333333333,N,N,27.55,N,30.416666666666668,N,N,32.7,N,N,N,N,30.2,N,N,N,N,N,N,N,N,30.116666666666667,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.816666666666666
Hotel Omni Mont-Royal,N,N,33.916666666666664,40.95,23.85,N,N,25.716666666666665,19.266666666666666,N,24.25,32.53333333333333,N,N,26.55,N,N,N,N,25.7,N,N,N,N,28.2,N,N,N,20.933333333333334,N,28.65,N,N,23.116666666666667,N,13.316666666666666,N,N,N,N,N,N,N,45.03333333333333,N,N,N,N,N,33.81666666666667
Doubletree By Hilton Montreal,N,N,31.6,44.63333333333333,21.533333333333335,N,N,15.65,22.95,N,21.933333333333334,30.216666666666665,N,N,16.483333333333334,N,N,N,N,23.383333333333333,N,N,N,N,31.883333333333333,N,N,N,N,N,32.333333333333336,N,N,20.8,N,N,N,N,N,N,N,N,28.35,34.96666666666667,N,N,N,N,N,N
