,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Hôtel Place d'Armes Old Montreal,N,N,39.71666666666667,38.93333333333333,28.883333333333333,N,N,26.75,20.3,N,28.283333333333335,38.36666666666667,N,N,27.566666666666666,N,26.45,N,N,31.483333333333334,N,N,N,N,27.25,N,N,N,N,N,N,N,N,27.183333333333334,N,N,N,N,N,N,N,N,N,45.06666666666667,N,N,15.516666666666667,N,N,24.633333333333333
Hôtel Bonaventure Montréal,N,N,41.05,37.95,30.983333333333334,N,N,29.766666666666666,19.316666666666666,N,30.383333333333333,39.7,N,N,30.583333333333332,N,30.466666666666665,N,N,32.81666666666667,N,N,N,N,25.266666666666666,N,N,N,N,N,N,N,N,29.283333333333335,N,14.383333333333333,N,N,N,N,N,N,N,48.083333333333336,N,N,18.533333333333335,N,N,27.65
Le Square Phillips Hotel & Suites,N,N,36.21666666666667,39.93333333333333,26.15,N,N,27.016666666666666,21.3,N,25.55,34.86666666666667,N,N,27.833333333333332,N,N,N,N,27.983333333333334,N,N,N,N,28.25,N,N,N,N,N,N,N,N,24.45,N,N,N,N,N,N,N,N,N,47.333333333333336,N,N,N,N,N,27.633333333333333
Hotel William Gray,N,N,43.916666666666664,45.88333333333333,32.833333333333336,N,N,27.516666666666666,26.25,N,32.233333333333334,42.55,N,N,28.333333333333332,N,N,N,N,35.666666666666664,N,N,N,N,33.2,N,N,N,N,N,N,N,N,31.133333333333333,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.583333333333332
Hyatt Place Montréal – Downtown,N,N,29.783333333333335,42.766666666666666,19.716666666666665,18.983333333333334,N,13.6,23.133333333333333,N,19.116666666666667,28.433333333333334,N,N,14.416666666666666,N,24.283333333333335,N,N,21.55,N,13.8,N,N,30.083333333333332,19.266666666666666,N,N,N,N,33.55,N,N,18.016666666666666,N,N,N,N,N,N,N,17.683333333333334,25.283333333333335,32.916666666666664,N,N,N,N,N,21.466666666666665
Hotel Faubourg Montreal,N,N,33.31666666666667,43.333333333333336,23.25,N,N,18.766666666666666,23.7,N,22.65,31.966666666666665,N,N,19.583333333333332,N,N,N,N,25.083333333333332,N,N,N,N,30.65,N,N,N,N,N,34.083333333333336,N,N,21.55,N,N,N,N,N,N,N,N,N,38.083333333333336,N,N,N,N,N,N
Hotel Saint-Laurent Montreal,N,N,33.483333333333334,43.166666666666664,23.416666666666668,N,N,18.933333333333334,23.533333333333335,N,22.816666666666666,32.13333333333333,N,N,19.75,N,N,N,N,25.25,N,N,N,N,30.483333333333334,N,N,N,N,N,34.25,N,N,21.716666666666665,N,N,N,N,N,N,N,N,N,38.25,N,N,N,N,N,N
Hotel Nelligan,N,N,42.9,41.9,31.85,N,N,29.716666666666665,23.266666666666666,N,31.25,41.55,N,N,30.533333333333335,N,29.416666666666668,N,N,34.666666666666664,N,N,N,N,30.216666666666665,N,N,N,N,N,N,N,N,30.15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,27.6
Hotel Omni Mont-Royal,N,N,33.916666666666664,41.9,23.85,N,N,24.716666666666665,19.266666666666666,N,23.25,32.56666666666667,N,N,25.533333333333335,N,N,N,N,25.683333333333334,N,N,N,N,29.216666666666665,N,N,N,20.933333333333334,N,N,N,N,22.15,N,13.333333333333334,N,N,N,N,N,N,N,45.03333333333333,N,N,N,N,N,31.6
Doubletree By Hilton Montreal,N,N,31.6,45.583333333333336,21.533333333333335,N,N,16.65,22.95,N,20.933333333333334,30.25,N,N,17.466666666666665,N,N,N,N,23.366666666666667,N,N,N,N,32.9,N,N,N,N,N,32.36666666666667,N,N,19.833333333333332,N,N,N,N,N,N,N,N,29.1,35.96666666666667,N,N,N,N,N,N
Le St-Martin Hotel Particulier Montreal,N,N,32.78333333333333,40.766666666666666,22.716666666666665,N,N,23.583333333333332,18.133333333333333,N,22.116666666666667,31.433333333333334,N,N,24.4,N,N,N,N,24.55,N,N,N,N,28.083333333333332,N,N,N,19.016666666666666,N,27.55,N,N,21.016666666666666,N,12.2,N,N,N,N,N,N,N,43.9,N,N,21.35,N,N,30.466666666666665
Auberge Du Vieux Port,N,N,43.03333333333333,47.266666666666666,32.96666666666667,N,N,29.333333333333332,27.633333333333333,N,32.36666666666667,41.68333333333333,N,N,30.15,N,N,N,N,34.8,N,N,N,N,34.583333333333336,N,N,N,N,N,N,N,N,31.266666666666666,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29.966666666666665
L'Appartement Hotel,N,N,36.166666666666664,46.15,26.1,N,N,26.966666666666665,23.516666666666666,N,25.5,34.81666666666667,N,N,27.783333333333335,N,N,N,N,27.933333333333334,N,N,N,N,33.46666666666667,N,N,N,N,N,32.93333333333333,N,N,24.4,N,N,N,N,N,N,N,N,N,47.28333333333333,N,N,N,N,N,N
Best Western Ville-Marie Montreal Hotel & Suites,N,N,34.75,N,24.683333333333334,N,N,25.55,20.1,N,24.083333333333332,33.4,N,N,26.366666666666667,N,N,N,N,26.516666666666666,N,N,N,N,30.05,N,N,N,22.25,N,N,N,N,22.983333333333334,N,14.166666666666666,N,N,N,N,N,N,N,45.86666666666667,N,N,N,N,N,N
Warwick Le Crystal - Montréal,N,N,39.36666666666667,38.35,29.3,N,N,30.166666666666668,N,N,28.7,38.016666666666666,N,N,30.983333333333334,N,32.86666666666667,N,N,31.133333333333333,N,N,N,N,25.666666666666668,N,N,N,18.166666666666668,N,N,N,N,27.6,N,18.783333333333335,N,N,N,N,N,N,N,50.483333333333334,N,N,20.933333333333334,N,N,31.05
Le Petit Hotel Vieux-Montréal | Saint-Paul,N,N,43.78333333333333,43.166666666666664,33.11666666666667,N,N,30.983333333333334,24.533333333333335,N,32.516666666666666,42.43333333333333,N,N,31.8,N,N,N,N,35.55,N,N,N,N,31.483333333333334,N,N,N,N,N,N,N,N,31.416666666666668,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.866666666666667
Hotel Universel Montreal,38.016666666666666,51.666666666666664,N,63.166666666666664,N,35.38333333333333,41.88333333333333,39.983333333333334,40.53333333333333,36.5,N,N,35.0,37.166666666666664,40.8,43.85,48.68333333333333,37.38333333333333,30.933333333333334,N,34.083333333333336,30.2,56.45,39.25,50.483333333333334,35.666666666666664,32.416666666666664,35.266666666666666,32.93333333333333,29.4,49.95,27.783333333333335,49.65,N,43.233333333333334,24.6,36.5,38.15,38.85,35.81666666666667,N,34.083333333333336,46.68333333333333,56.3,N,51.78333333333333,37.75,37.766666666666666,49.53333333333333,46.86666666666667
Sonder Maisonneuve,21.383333333333333,N,35.65,N,25.583333333333332,N,N,26.45,N,25.966666666666665,24.983333333333334,34.3,N,20.533333333333335,27.266666666666666,N,37.05,25.3,N,27.416666666666668,N,N,N,22.616666666666667,26.95,N,N,17.783333333333335,22.35,N,N,15.25,N,23.883333333333333,N,14.066666666666666,25.966666666666665,N,33.31666666666667,20.183333333333334,N,N,N,46.766666666666666,N,N,24.216666666666665,21.133333333333333,N,33.333333333333336
Le Westin Montreal,N,N,39.916666666666664,40.483333333333334,29.85,N,N,28.3,21.85,N,29.25,38.56666666666667,N,N,29.116666666666667,N,28.0,N,N,31.683333333333334,N,N,N,N,28.8,N,N,N,N,N,N,N,N,28.15,N,N,N,N,N,N,N,N,N,46.61666666666667,N,N,17.066666666666666,N,N,26.183333333333334
Montreal Marriott Chateau Champlain,N,N,40.233333333333334,35.166666666666664,30.116666666666667,N,N,26.983333333333334,16.533333333333335,N,29.516666666666666,38.88333333333333,N,N,27.8,N,27.683333333333334,N,N,31.95,N,N,N,N,22.483333333333334,N,N,N,11.983333333333333,N,N,N,N,28.416666666666668,N,11.6,N,N,37.9,N,N,N,N,45.3,N,N,15.75,N,N,24.866666666666667
Hyatt Centric Montreal,N,N,39.81666666666667,46.1,29.75,N,N,23.6,26.466666666666665,N,29.15,38.46666666666667,N,N,24.416666666666668,N,N,N,N,31.583333333333332,N,N,N,N,33.416666666666664,N,N,N,N,N,N,N,N,28.05,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.8
Novotel Montreal Centre,N,N,39.06666666666667,38.583333333333336,29.0,N,N,29.866666666666667,N,N,28.4,37.71666666666667,N,N,30.683333333333334,N,33.1,N,N,30.833333333333332,N,N,N,N,25.9,N,N,N,18.4,N,N,N,N,27.3,N,18.483333333333334,N,N,N,N,N,N,N,50.18333333333333,N,N,21.166666666666668,N,N,31.283333333333335
LHotel,N,N,41.4,41.6,31.333333333333332,N,N,29.416666666666668,22.966666666666665,N,30.733333333333334,40.05,N,N,30.233333333333334,N,29.116666666666667,N,N,33.166666666666664,N,N,N,N,29.916666666666668,N,N,N,N,N,N,N,N,29.633333333333333,N,N,N,N,N,N,N,N,N,N,N,N,18.183333333333334,N,N,27.3
Courtyard Montreal Downtown,N,N,35.11666666666667,41.53333333333333,25.05,N,N,25.916666666666668,22.9,N,24.45,33.766666666666666,N,N,26.733333333333334,N,N,N,N,26.883333333333333,N,N,N,N,29.85,N,N,N,N,N,N,N,N,23.35,N,N,N,N,N,N,N,N,N,46.233333333333334,N,N,N,N,N,N
Embassy Suites by Hilton Montreal,N,N,33.2,42.86666666666667,23.133333333333333,N,N,16.983333333333334,23.233333333333334,N,22.533333333333335,31.85,N,N,17.8,N,N,N,N,24.966666666666665,N,N,N,N,30.183333333333334,N,N,N,N,N,36.96666666666667,N,N,21.433333333333334,N,N,N,N,N,N,N,N,25.383333333333333,36.3,N,N,N,N,N,N
Fairfield by Marriott Montreal Downtown,N,N,30.816666666666666,43.8,20.75,20.016666666666666,N,14.633333333333333,24.166666666666668,N,20.15,29.466666666666665,N,N,15.45,N,25.316666666666666,N,N,22.583333333333332,N,N,N,N,31.116666666666667,20.3,N,N,N,N,34.583333333333336,N,N,19.05,N,N,N,N,N,N,N,18.716666666666665,26.316666666666666,33.95,N,N,N,N,N,22.5
Hotel Monville,N,N,36.81666666666667,40.53333333333333,26.75,N,N,27.616666666666667,21.9,N,26.15,35.46666666666667,N,N,28.433333333333334,N,N,N,N,28.583333333333332,N,N,N,N,28.85,N,N,N,N,N,N,N,N,25.05,N,N,N,N,N,N,N,N,N,46.666666666666664,N,N,N,N,N,26.233333333333334
Best Western Plus Montreal Downtown-Hotel Europa,N,N,36.53333333333333,N,26.466666666666665,N,N,27.333333333333332,N,N,25.866666666666667,35.18333333333333,N,N,28.15,N,N,N,N,28.3,N,N,N,N,28.35,N,N,N,N,N,N,N,N,24.766666666666666,N,15.95,N,N,N,N,N,N,N,47.65,N,N,23.616666666666667,N,N,33.733333333333334
"InterContinental Montreal, an IHG hotel",N,N,40.233333333333334,40.416666666666664,30.166666666666668,N,N,30.233333333333334,21.783333333333335,N,29.566666666666666,38.88333333333333,N,N,31.05,N,30.933333333333334,N,N,32.0,N,N,N,N,28.733333333333334,N,N,N,N,N,N,N,N,28.466666666666665,N,14.85,N,N,N,N,N,N,N,48.55,N,N,18.283333333333335,N,N,28.116666666666667
Hôtel Saint-Sulpice,N,N,42.13333333333333,41.38333333333333,31.333333333333332,N,N,29.2,22.75,N,30.733333333333334,40.78333333333333,N,N,30.016666666666666,N,28.9,N,N,33.9,N,N,N,N,29.7,N,N,N,N,N,N,N,N,29.633333333333333,N,N,N,N,N,N,N,N,N,N,N,N,17.966666666666665,N,N,27.083333333333332
"Vogue Hotel Montreal Downtown, Curio Collection by Hilton",N,N,35.416666666666664,N,25.35,N,N,26.216666666666665,N,N,24.75,34.06666666666667,N,N,27.033333333333335,N,N,N,N,27.183333333333334,N,N,N,N,29.05,N,N,N,N,N,N,N,N,23.65,N,14.833333333333334,N,N,N,N,N,N,N,46.53333333333333,N,N,23.983333333333334,N,N,33.1
Novotel Montreal Airport,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
W Montreal,N,N,39.916666666666664,37.78333333333333,29.85,N,N,27.6,19.15,N,29.25,38.56666666666667,N,N,28.416666666666668,N,28.3,N,N,31.683333333333334,N,N,N,N,26.1,N,N,N,N,N,N,N,N,28.15,N,12.216666666666667,N,N,N,N,N,N,N,45.916666666666664,N,N,16.366666666666667,N,N,25.483333333333334
Hotel Terrasse Royale,34.35,N,60.516666666666666,N,49.45,37.083333333333336,37.21666666666667,48.31666666666667,31.866666666666667,37.266666666666666,48.85,56.166666666666664,36.333333333333336,33.5,49.13333333333333,39.18333333333333,42.016666666666666,37.266666666666666,36.43333333333333,49.28333333333333,33.21666666666667,33.53333333333333,64.78333333333333,35.583333333333336,N,33.25,35.71666666666667,32.6,35.31666666666667,32.733333333333334,41.28333333333333,36.46666666666667,N,47.75,37.233333333333334,35.93333333333333,37.266666666666666,34.483333333333334,55.18333333333333,33.15,N,36.88333333333333,36.016666666666666,64.63333333333334,N,42.233333333333334,36.083333333333336,34.1,41.86666666666667,38.43333333333333
Samesun Montreal Central,N,N,30.283333333333335,43.266666666666666,20.216666666666665,19.483333333333334,N,14.1,23.633333333333333,N,19.616666666666667,28.933333333333334,N,N,14.916666666666666,N,N,N,N,22.05,N,14.3,N,N,30.583333333333332,19.766666666666666,N,N,N,N,34.05,N,N,18.516666666666666,N,N,N,N,N,N,N,18.183333333333334,25.783333333333335,33.416666666666664,N,N,N,N,N,21.966666666666665
Delta Hotels by Marriott Montreal,N,N,32.9,44.88333333333333,22.833333333333332,N,N,23.7,22.25,N,22.233333333333334,31.55,N,N,24.516666666666666,N,N,N,N,24.666666666666668,N,N,N,N,32.2,N,N,N,N,N,31.666666666666668,N,N,21.133333333333333,N,N,N,N,N,N,N,N,N,44.016666666666666,N,N,N,N,N,N
Honeyrose Hotel Montreal A Tribute Portfolio Hotel,N,N,30.8,42.78333333333333,20.733333333333334,N,N,21.6,20.15,N,20.133333333333333,29.45,N,N,22.416666666666668,N,N,N,N,22.566666666666666,N,N,N,N,30.1,N,N,N,N,N,29.566666666666666,N,N,19.033333333333335,N,N,N,N,N,N,N,N,N,41.916666666666664,N,N,N,N,N,N
